Subcategory,countryISO3,population,hoursPerDayCombined,,,
Hygiene & grooming,ABW,101665,0.93,,,
Hygiene & grooming,AFG,36296111,1.2,,,
Hygiene & grooming,AGO,31825299,0.82,,,
Hygiene & grooming,ALB,2896307,0.79,,,
Hygiene & grooming,ARE,9770526,0.85,,,
Hygiene & grooming,ARG,44780675,1,,,
Hygiene & grooming,ARM,2925559,0.85,,,
Hygiene & grooming,ATG,97115,0.94,,,
Hygiene & grooming,AUS,21332293,0.88,,,
Hygiene & grooming,AUT,8453501,0.88,,,
Hygiene & grooming,AZE,10047719,0.84,,,
Hygiene & grooming,BDI,9844301,1.06,,,
Hygiene & grooming,BEL,10938735,0.92,,,
Hygiene & grooming,BEN,8902134,0.93,,,
Hygiene & grooming,BFA,17586029,0.97,,,
Hygiene & grooming,BGD,159685421,1.23,,,
Hygiene & grooming,BGR,7524084,0.68,,,
Hygiene & grooming,BHR,1641164,0.85,,,
Hygiene & grooming,BHS,389486,0.94,,,
Hygiene & grooming,BIH,3300998,0.93,,,
Hygiene & grooming,BLR,9445638,1.13,,,
Hygiene & grooming,BLZ,390351,0.92,,,
Hygiene & grooming,BOL,11513102,1,,,
Hygiene & grooming,BRA,184833335,1.06,,,
Hygiene & grooming,BRB,287021,0.94,,,
Hygiene & grooming,BRN,433296,1.26,,,
Hygiene & grooming,BTN,763094,1.2,,,
Hygiene & grooming,BWA,2303703,1.12,,,
Hygiene & grooming,CAF,4745179,0.82,,,
Hygiene & grooming,CAN,36026668,0.86,,,
Hygiene & grooming,CHE,8591361,0.93,,,
Hygiene & grooming,CHL,18952035,1,,,
Hygiene & grooming,CHN,1329915177,0.9,,,
Hygiene & grooming,CIV,25716554,0.99,,,
Hygiene & grooming,CMR,25876387,0.82,,,
Hygiene & grooming,COD,69020749,0.82,,,
Hygiene & grooming,COG,4145400,0.82,,,
Hygiene & grooming,COL,50339443,0.88,,,
Hygiene & grooming,COM,759390,1.06,,,
Hygiene & grooming,CPV,549936,1.01,,,
Hygiene & grooming,CRI,4949955,1.06,,,
Hygiene & grooming,CUB,11225833,0.93,,,
Hygiene & grooming,CUW,163423,0.94,,,
Hygiene & grooming,CYP,1198574,0.86,,,
Hygiene & grooming,CZE,10689213,1.13,,,
Hygiene & grooming,DEU,80827001,0.95,,,
Hygiene & grooming,DJI,973557,1.08,,,
Hygiene & grooming,DNK,5771877,0.96,,,
Hygiene & grooming,DOM,10738957,0.98,,,
Hygiene & grooming,DZA,41389174,0.74,,,
Hygiene & grooming,ECU,15951832,1.01,,,
Hygiene & grooming,EGY,100388076,0.79,,,
Hygiene & grooming,ERI,3497117,1.08,,,
Hygiene & grooming,ESH,582458,0.79,,,
Hygiene & grooming,ESP,46931011,0.89,,,
Hygiene & grooming,EST,1332103,0.95,,,
Hygiene & grooming,ETH,95385793,1.06,,,
Hygiene & grooming,FIN,5365784,0.87,,,
Hygiene & grooming,FJI,889955,1.27,,,
Hygiene & grooming,FRA,62879535,0.92,,,
Hygiene & grooming,FSM,113811,1.27,,,
Hygiene & grooming,GAB,2172578,0.82,,,
Hygiene & grooming,GBR,63459801,0.99,,,
Hygiene & grooming,GEO,3996762,0.85,,,
Hygiene & grooming,GHA,26607641,1.03,,,
Hygiene & grooming,GIN,12771246,1.01,,,
Hygiene & grooming,GLP,400048,0.94,,,
Hygiene & grooming,GMB,1905020,1.02,,,
Hygiene & grooming,GNB,1920917,1.01,,,
Hygiene & grooming,GNQ,1355982,0.82,,,
Hygiene & grooming,GRC,10887640,0.98,,,
Hygiene & grooming,GRD,112002,0.94,,,
Hygiene & grooming,GTM,16583079,0.93,,,
Hygiene & grooming,GUF,290823,1.01,,,
Hygiene & grooming,GUM,167295,1.27,,,
Hygiene & grooming,GUY,782775,1.01,,,
Hygiene & grooming,HKG,6924642,0.96,,,
Hygiene & grooming,HND,9746115,0.95,,,
Hygiene & grooming,HRV,4130299,0.92,,,
Hygiene & grooming,HTI,10250922,0.94,,,
Hygiene & grooming,HUN,9927380,1.25,,,
Hygiene & grooming,IDN,258383257,1.28,,,
Hygiene & grooming,IND,1366417756,1.21,,,
Hygiene & grooming,IRL,4415871,0.75,,,
Hygiene & grooming,IRN,82913893,1.18,,,
Hygiene & grooming,IRQ,39309789,0.76,,,
Hygiene & grooming,ISL,339037,0.95,,,
Hygiene & grooming,ISR,8243849,0.84,,,
Hygiene & grooming,ITA,59325232,0.96,,,
Hygiene & grooming,JAM,2948277,0.93,,,
Hygiene & grooming,JOR,10101697,0.85,,,
Hygiene & grooming,JPN,127763267,1.43,,,
Hygiene & grooming,KAZ,18080023,1.09,,,
Hygiene & grooming,KEN,52573967,1.08,,,
Hygiene & grooming,KGZ,5422298,1.09,,,
Hygiene & grooming,KHM,16486542,1.27,,,
Hygiene & grooming,KIR,117608,1.27,,,
Hygiene & grooming,KOR,50607904,1.22,,,
Hygiene & grooming,KWT,4207077,0.85,,,
Hygiene & grooming,LAO,6953031,1.26,,,
Hygiene & grooming,LBN,6855709,0.86,,,
Hygiene & grooming,LBR,4702224,0.99,,,
Hygiene & grooming,LBY,6777453,0.79,,,
Hygiene & grooming,LCA,182795,0.93,,,
Hygiene & grooming,LKA,21323734,1.21,,,
Hygiene & grooming,LSO,2125267,1.11,,,
Hygiene & grooming,LTU,3212867,0.94,,,
Hygiene & grooming,LUX,507890,0.96,,,
Hygiene & grooming,LVA,2171248,0.75,,,
Hygiene & grooming,MAC,640446,0.96,,,
Hygiene & grooming,MAR,33241898,0.84,,,
Hygiene & grooming,MDA,4043258,1.12,,,
Hygiene & grooming,MDG,24234080,1.07,,,
Hygiene & grooming,MDV,530957,1.2,,,
Hygiene & grooming,MEX,127575529,0.93,,,
Hygiene & grooming,MKD,2083458,0.92,,,
Hygiene & grooming,MLI,19077755,0.99,,,
Hygiene & grooming,MLT,440377,0.92,,,
Hygiene & grooming,MMR,54045422,1.29,,,
Hygiene & grooming,MNE,627988,0.92,,,
Hygiene & grooming,MNG,3225166,1.27,,,
Hygiene & grooming,MOZ,27042001,1.07,,,
Hygiene & grooming,MRT,4525698,1.06,,,
Hygiene & grooming,MTQ,375557,0.94,,,
Hygiene & grooming,MUS,1267184,1.11,,,
Hygiene & grooming,MWI,18628749,1.08,,,
Hygiene & grooming,MYS,31949789,1.25,,,
Hygiene & grooming,MYT,266153,1.08,,,
Hygiene & grooming,NAM,2448300,1.14,,,
Hygiene & grooming,NCL,282757,1.27,,,
Hygiene & grooming,NER,21602388,1.08,,,
Hygiene & grooming,NGA,200963603,1.01,,,
Hygiene & grooming,NIC,5982530,0.92,,,
Hygiene & grooming,NLD,16682927,0.93,,,
Hygiene & grooming,NOR,4885878,0.96,,,
Hygiene & grooming,NPL,27632682,1.21,,,
Hygiene & grooming,NZL,4323338,0.76,,,
Hygiene & grooming,OMN,4974992,0.98,,,
Hygiene & grooming,PAK,191260799,1.24,,,
Hygiene & grooming,PAN,3901311,0.94,,,
Hygiene & grooming,PER,32510462,1.01,,,
Hygiene & grooming,PHL,108116622,1.26,,,
Hygiene & grooming,PNG,8776119,1.27,,,
Hygiene & grooming,POL,38329784,1,,,
Hygiene & grooming,PRI,2933404,0.94,,,
Hygiene & grooming,PRK,25666158,0.96,,,
Hygiene & grooming,PRT,10226178,0.93,,,
Hygiene & grooming,PRY,7044639,1.01,,,
Hygiene & grooming,PSE,4981422,0.85,,,
Hygiene & grooming,PYF,279285,1.27,,,
Hygiene & grooming,QAT,2832071,0.84,,,
Hygiene & grooming,REU,888932,1.08,,,
Hygiene & grooming,ROU,20471860,1.17,,,
Hygiene & grooming,RUS,145734034,1.16,,,
Hygiene & grooming,RWA,12301969,1.07,,,
Hygiene & grooming,SAU,34268529,0.85,,,
Hygiene & grooming,SEN,16296362,1.11,,,
Hygiene & grooming,SGP,5804343,1.27,,,
Hygiene & grooming,SLB,571329,1.25,,,
Hygiene & grooming,SLE,7650149,0.97,,,
Hygiene & grooming,SLV,6183877,1.05,,,
Hygiene & grooming,SOM,15442906,1.08,,,
Hygiene & grooming,SRB,8963761,0.93,,,
Hygiene & grooming,SSD,11062114,1.08,,,
Hygiene & grooming,STP,215048,0.82,,,
Hygiene & grooming,SUR,581363,1.01,,,
Hygiene & grooming,SVK,5457012,1.13,,,
Hygiene & grooming,SVN,2023049,0.75,,,
Hygiene & grooming,SWE,9139759,0.95,,,
Hygiene & grooming,SWZ,1113994,1.17,,,
Hygiene & grooming,SYC,97741,1.08,,,
Hygiene & grooming,SYR,17070132,0.85,,,
Hygiene & grooming,TCD,15946882,0.82,,,
Hygiene & grooming,TGO,8082359,1.01,,,
Hygiene & grooming,THA,68714519,1.28,,,
Hygiene & grooming,TJK,9321023,1.09,,,
Hygiene & grooming,TKM,5942094,1.09,,,
Hygiene & grooming,TLS,1293120,1.27,,,
Hygiene & grooming,TON,103199,1.26,,,
Hygiene & grooming,TTO,1394969,0.94,,,
Hygiene & grooming,TUN,11694721,0.78,,,
Hygiene & grooming,TUR,72326992,0.88,,,
Hygiene & grooming,TWN,23773881,0.93,,,
Hygiene & grooming,TZA,49960563,1.09,,,
Hygiene & grooming,UGA,41166588,1.08,,,
Hygiene & grooming,UKR,44487708,1.12,,,
Hygiene & grooming,URY,3449290,1,,,
Hygiene & grooming,USA,329064917,0.77,,,
Hygiene & grooming,UZB,32981715,1.09,,,
Hygiene & grooming,VCT,110593,0.94,,,
Hygiene & grooming,VEN,29402480,1,,,
Hygiene & grooming,VIR,104579,0.94,,,
Hygiene & grooming,VNM,96462108,1.28,,,
Hygiene & grooming,VUT,299882,1.25,,,
Hygiene & grooming,WSM,197093,1.27,,,
Hygiene & grooming,YEM,25823488,0.84,,,
Hygiene & grooming,ZAF,51216967,1.11,,,
Hygiene & grooming,ZMB,17861034,1.09,,,
Hygiene & grooming,ZWE,14645473,1.07,,,
