Subcategory,countryISO3,population,hoursPerDayCombined,,,
Inhabited environment,ABW,101665,1.41,,,
Inhabited environment,AFG,36296111,0.68,,,
Inhabited environment,AGO,31825299,0.72,,,
Inhabited environment,ALB,2896307,0.83,,,
Inhabited environment,ARE,9770526,0.86,,,
Inhabited environment,ARG,44780675,0.72,,,
Inhabited environment,ARM,2925559,0.82,,,
Inhabited environment,ATG,97115,1.29,,,
Inhabited environment,AUS,21332293,1.02,,,
Inhabited environment,AUT,8453501,1.2,,,
Inhabited environment,AZE,10047719,0.82,,,
Inhabited environment,BDI,9844301,0.83,,,
Inhabited environment,BEL,10938735,0.97,,,
Inhabited environment,BEN,8902134,0.63,,,
Inhabited environment,BFA,17586029,0.62,,,
Inhabited environment,BGD,159685421,0.73,,,
Inhabited environment,BGR,7524084,1.35,,,
Inhabited environment,BHR,1641164,0.86,,,
Inhabited environment,BHS,389486,1.29,,,
Inhabited environment,BIH,3300998,1.08,,,
Inhabited environment,BLR,9445638,1,,,
Inhabited environment,BLZ,390351,1.22,,,
Inhabited environment,BOL,11513102,0.71,,,
Inhabited environment,BRA,184833335,0.81,,,
Inhabited environment,BRB,287021,1.29,,,
Inhabited environment,BRN,433296,0.71,,,
Inhabited environment,BTN,763094,0.71,,,
Inhabited environment,BWA,2303703,0.96,,,
Inhabited environment,CAF,4745179,0.72,,,
Inhabited environment,CAN,36026668,0.75,,,
Inhabited environment,CHE,8591361,1.03,,,
Inhabited environment,CHL,18952035,0.71,,,
Inhabited environment,CHN,1329915177,0.59,,,
Inhabited environment,CIV,25716554,0.64,,,
Inhabited environment,CMR,25876387,0.72,,,
Inhabited environment,COD,69020749,0.71,,,
Inhabited environment,COG,4145400,0.83,,,
Inhabited environment,COL,50339443,0.76,,,
Inhabited environment,COM,759390,0.81,,,
Inhabited environment,CPV,549936,0.66,,,
Inhabited environment,CRI,4949955,1.28,,,
Inhabited environment,CUB,11225833,1.25,,,
Inhabited environment,CUW,163423,1.29,,,
Inhabited environment,CYP,1198574,0.95,,,
Inhabited environment,CZE,10689213,1.04,,,
Inhabited environment,DEU,80827001,1.06,,,
Inhabited environment,DJI,973557,0.86,,,
Inhabited environment,DNK,5771877,0.91,,,
