Subcategory,countryISO3,population,hoursPerDayCombined,,,
Material transportation,ABW,101665,0.12,,,
Material transportation,AFG,36296111,0.25,,,
Material transportation,AGO,31825299,0.48,,,
Material transportation,ALB,2896307,0.12,,,
Material transportation,ARE,9770526,0.21,,,
Material transportation,ARG,44780675,0.35,,,
Material transportation,ARM,2925559,0.23,,,
Material transportation,ATG,97115,0.18,,,
Material transportation,AUS,21332293,0.34,,,
Material transportation,AUT,8453501,0.37,,,
Material transportation,AZE,10047719,0.17,,,
Material transportation,BDI,9844301,0.25,,,
Material transportation,BEL,10938735,0.32,,,
Material transportation,BEN,8902134,0.35,,,
Material transportation,BFA,17586029,0.16,,,
Material transportation,BGD,159685421,0.3,,,
Material transportation,BGR,7524084,0.38,,,
Material transportation,BHR,1641164,0.21,,,
Material transportation,BHS,389486,0.18,,,
Material transportation,BIH,3300998,0.35,,,
Material transportation,BLR,9445638,0.42,,,
Material transportation,BLZ,390351,0.08,,,
Material transportation,BOL,11513102,0.36,,,
Material transportation,BRA,184833335,0.41,,,
Material transportation,BRB,287021,0.18,,,
Material transportation,BRN,433296,0.34,,,
Material transportation,BTN,763094,0.17,,,
Material transportation,BWA,2303703,0.13,,,
Material transportation,CAF,4745179,0.48,,,
Material transportation,CAN,36026668,0.31,,,
Material transportation,CHE,8591361,0.37,,,
Material transportation,CHL,18952035,0.35,,,
Material transportation,CHN,1329915177,0.4,,,
Material transportation,CIV,25716554,0.28,,,
Material transportation,CMR,25876387,0.48,,,
Material transportation,COD,69020749,0.47,,,
Material transportation,COG,4145400,0.67,,,
Material transportation,COL,50339443,0.19,,,
Material transportation,COM,759390,0.37,,,
Material transportation,CPV,549936,0.24,,,
Material transportation,CRI,4949955,0.18,,,
Material transportation,CUB,11225833,0.14,,,
Material transportation,CUW,163423,0.18,,,
Material transportation,CYP,1198574,0.21,,,
Material transportation,CZE,10689213,0.34,,,
Material transportation,DEU,80827001,0.35,,,
Material transportation,DJI,973557,0.3,,,
Material transportation,DNK,5771877,0.38,,,
Material transportation,DOM,10738957,0.24,,,
Material transportation,DZA,41389174,0.2,,,
Material transportation,ECU,15951832,0.4,,,
Material transportation,EGY,100388076,0.29,,,
Material transportation,ERI,3497117,0.3,,,
Material transportation,ESH,582458,0.25,,,
Material transportation,ESP,46931011,0.33,,,
Material transportation,EST,1332103,0.5,,,
Material transportation,ETH,95385793,0.17,,,
Material transportation,FIN,5365784,0.33,,,
Material transportation,FJI,889955,0.39,,,
Material transportation,FRA,62879535,0.43,,,
Material transportation,FSM,113811,0.39,,,
Material transportation,GAB,2172578,0.48,,,
Material transportation,GBR,63459801,0.41,,,
Material transportation,GEO,3996762,0.23,,,
Material transportation,GHA,26607641,0.2,,,
Material transportation,GIN,12771246,0.24,,,
Material transportation,GLP,400048,0.18,,,
Material transportation,GMB,1905020,0.28,,,
Material transportation,GNB,1920917,0.24,,,
Material transportation,GNQ,1355982,0.48,,,
Material transportation,GRC,10887640,0.27,,,
Material transportation,GRD,112002,0.18,,,
Material transportation,GTM,16583079,0.11,,,
Material transportation,GUF,290823,0.37,,,
Material transportation,GUM,167295,0.39,,,
Material transportation,GUY,782775,0.41,,,
Material transportation,HKG,6924642,0.49,,,
Material transportation,HND,9746115,0.15,,,
Material transportation,HRV,4130299,0.38,,,
Material transportation,HTI,10250922,0.12,,,
Material transportation,HUN,9927380,0.42,,,
Material transportation,IDN,258383257,0.38,,,
Material transportation,IND,1366417756,0.2,,,
Material transportation,IRL,4415871,0.34,,,
Material transportation,IRN,82913893,0.29,,,
Material transportation,IRQ,39309789,0.06,,,
Material transportation,ISL,339037,0.39,,,
Material transportation,ISR,8243849,0.21,,,
Material transportation,ITA,59325232,0.37,,,
Material transportation,JAM,2948277,0.14,,,
Material transportation,JOR,10101697,0.19,,,
Material transportation,JPN,127763267,0.22,,,
Material transportation,KAZ,18080023,0.23,,,
Material transportation,KEN,52573967,0.37,,,
Material transportation,KGZ,5422298,0.5,,,
Material transportation,KHM,16486542,0.38,,,
Material transportation,KIR,117608,0.39,,,
Material transportation,KOR,50607904,0.22,,,
Material transportation,KWT,4207077,0.21,,,
Material transportation,LAO,6953031,0.28,,,
Material transportation,LBN,6855709,0.21,,,
Material transportation,LBR,4702224,0.27,,,
Material transportation,LBY,6777453,0.25,,,
Material transportation,LCA,182795,0.14,,,
Material transportation,LKA,21323734,0.25,,,
Material transportation,LSO,2125267,0.1,,,
Material transportation,LTU,3212867,0.49,,,
Material transportation,LUX,507890,0.46,,,
Material transportation,LVA,2171248,0.58,,,
Material transportation,MAC,640446,0.37,,,
Material transportation,MAR,33241898,0.15,,,
Material transportation,MDA,4043258,0.22,,,
Material transportation,MDG,24234080,0.26,,,
Material transportation,MDV,530957,0.29,,,
Material transportation,MEX,127575529,0.2,,,
Material transportation,MKD,2083458,0.36,,,
Material transportation,MLI,19077755,0.19,,,
Material transportation,MLT,440377,0.35,,,
Material transportation,MMR,54045422,0.41,,,
Material transportation,MNE,627988,0.31,,,
Material transportation,MNG,3225166,0.31,,,
Material transportation,MOZ,27042001,0.27,,,
Material transportation,MRT,4525698,0.24,,,
Material transportation,MTQ,375557,0.18,,,
Material transportation,MUS,1267184,0.23,,,
Material transportation,MWI,18628749,0.3,,,
Material transportation,MYS,31949789,0.34,,,
Material transportation,MYT,266153,0.3,,,
Material transportation,NAM,2448300,0.14,,,
Material transportation,NCL,282757,0.43,,,
Material transportation,NER,21602388,0.21,,,
Material transportation,NGA,200963603,0.24,,,
Material transportation,NIC,5982530,0.11,,,
Material transportation,NLD,16682927,0.34,,,
Material transportation,NOR,4885878,0.38,,,
Material transportation,NPL,27632682,0.22,,,
Material transportation,NZL,4323338,0.29,,,
Material transportation,OMN,4974992,0.11,,,
Material transportation,PAK,191260799,0.46,,,
Material transportation,PAN,3901311,0.25,,,
Material transportation,PER,32510462,0.46,,,
Material transportation,PHL,108116622,0.52,,,
Material transportation,PNG,8776119,0.39,,,
Material transportation,POL,38329784,0.37,,,
Material transportation,PRI,2933404,0.18,,,
Material transportation,PRK,25666158,0.37,,,
Material transportation,PRT,10226178,0.33,,,
Material transportation,PRY,7044639,0.37,,,
Material transportation,PSE,4981422,0.22,,,
Material transportation,PYF,279285,0.39,,,
Material transportation,QAT,2832071,0.17,,,
Material transportation,REU,888932,0.3,,,
Material transportation,ROU,20471860,0.33,,,
Material transportation,RUS,145734034,0.24,,,
Material transportation,RWA,12301969,0.32,,,
Material transportation,SAU,34268529,0.21,,,
Material transportation,SEN,16296362,0.3,,,
Material transportation,SGP,5804343,0.39,,,
Material transportation,SLB,571329,0.34,,,
Material transportation,SLE,7650149,0.25,,,
Material transportation,SLV,6183877,0.28,,,
Material transportation,SOM,15442906,0.3,,,
Material transportation,SRB,8963761,0.37,,,
Material transportation,SSD,11062114,0.3,,,
Material transportation,STP,215048,0.48,,,
Material transportation,SUR,581363,0.37,,,
Material transportation,SVK,5457012,0.35,,,
Material transportation,SVN,2023049,0.38,,,
Material transportation,SWE,9139759,0.35,,,
Material transportation,SWZ,1113994,0.16,,,
Material transportation,SYC,97741,0.3,,,
Material transportation,SYR,17070132,0.21,,,
Material transportation,TCD,15946882,0.48,,,
Material transportation,TGO,8082359,0.24,,,
Material transportation,THA,68714519,0.35,,,
Material transportation,TJK,9321023,0.28,,,
Material transportation,TKM,5942094,0.28,,,
Material transportation,TLS,1293120,0.39,,,
Material transportation,TON,103199,0.32,,,
Material transportation,TTO,1394969,0.18,,,
Material transportation,TUN,11694721,0.45,,,
Material transportation,TUR,72326992,0.27,,,
Material transportation,TWN,23773881,0.15,,,
Material transportation,TZA,49960563,0.49,,,
Material transportation,UGA,41166588,0.32,,,
Material transportation,UKR,44487708,0.27,,,
Material transportation,URY,3449290,0.33,,,
Material transportation,USA,329064917,0.39,,,
Material transportation,UZB,32981715,0.28,,,
Material transportation,VCT,110593,0.18,,,
Material transportation,VEN,29402480,0.34,,,
Material transportation,VIR,104579,0.18,,,
Material transportation,VNM,96462108,0.37,,,
Material transportation,VUT,299882,0.41,,,
Material transportation,WSM,197093,0.39,,,
Material transportation,YEM,25823488,0.21,,,
Material transportation,ZAF,51216967,0.13,,,
Material transportation,ZMB,17861034,0.3,,,
Material transportation,ZWE,14645473,0.27,,,
