Subcategory,countryISO3,population,hoursPerDayCombined,,,
Social,ABW,101665,1,,,
Social,AFG,36296111,1.8,,,
Social,AGO,31825299,1.05,,,
Social,ALB,2896307,0.73,,,
Social,ARE,9770526,1.09,,,
Social,ARG,44780675,1.21,,,
Social,ARM,2925559,1.09,,,
Social,ATG,97115,0.98,,,
Social,AUS,21332293,0.99,,,
Social,AUT,8453501,0.86,,,
Social,AZE,10047719,1.1,,,
Social,BDI,9844301,0.93,,,
Social,BEL,10938735,0.7,,,
Social,BEN,8902134,1.27,,,
Social,BFA,17586029,1.55,,,
Social,BGD,159685421,1.8,,,
Social,BGR,7524084,0.72,,,
Social,BHR,1641164,1.09,,,
Social,BHS,389486,0.98,,,
Social,BIH,3300998,0.73,,,
Social,BLR,9445638,0.77,,,
Social,BLZ,390351,1.04,,,
Social,BOL,11513102,1.19,,,
Social,BRA,184833335,1.07,,,
Social,BRB,287021,0.98,,,
Social,BRN,433296,0.68,,,
Social,BTN,763094,1.8,,,
Social,BWA,2303703,1.22,,,
Social,CAF,4745179,1.05,,,
Social,CAN,36026668,1.11,,,
Social,CHE,8591361,0.82,,,
Social,CHL,18952035,1.21,,,
Social,CHN,1329915177,0.62,,,
Social,CIV,25716554,1.54,,,
Social,CMR,25876387,1.05,,,
Social,COD,69020749,1.05,,,
Social,COG,4145400,1.05,,,
Social,COL,50339443,1.56,,,
Social,COM,759390,0.93,,,
Social,CPV,549936,1.55,,,
Social,CRI,4949955,1.86,,,
Social,CUB,11225833,1.04,,,
Social,CUW,163423,0.98,,,
Social,CYP,1198574,1.09,,,
Social,CZE,10689213,0.76,,,
Social,DEU,80827001,0.93,,,
Social,DJI,973557,0.93,,,
Social,DNK,5771877,0.87,,,
Social,DOM,10738957,0.98,,,
Social,DZA,41389174,1.25,,,
Social,ECU,15951832,1.18,,,
Social,EGY,100388076,1.35,,,
Social,ERI,3497117,0.93,,,
Social,ESH,582458,1.35,,,
Social,ESP,46931011,0.63,,,
Social,EST,1332103,0.51,,,
Social,ETH,95385793,1.15,,,
Social,FIN,5365784,0.74,,,
Social,FJI,889955,0.68,,,
Social,FRA,62879535,0.71,,,
Social,FSM,113811,0.68,,,
Social,GAB,2172578,1.05,,,
Social,GBR,63459801,0.76,,,
Social,GEO,3996762,1.09,,,
