Subcategory,countryISO3,population,hoursPerDayCombined,,,
Active recreation,ABW,101665,0.46,,,
Active recreation,AFG,36296111,0.23,,,
Active recreation,AGO,31825299,0.44,,,
Active recreation,ALB,2896307,0.43,,,
Active recreation,ARE,9770526,0.49,,,
Active recreation,ARG,44780675,0.57,,,
Active recreation,ARM,2925559,0.49,,,
Active recreation,ATG,97115,0.45,,,
Active recreation,AUS,21332293,0.56,,,
Active recreation,AUT,8453501,0.74,,,
Active recreation,AZE,10047719,0.49,,,
Active recreation,BDI,9844301,0.39,,,
Active recreation,BEL,10938735,0.58,,,
Active recreation,BEN,8902134,0.25,,,
Active recreation,BFA,17586029,0.44,,,
Active recreation,BGD,159685421,0.23,,,
Active recreation,BGR,7524084,0.52,,,
Active recreation,BHR,1641164,0.49,,,
Active recreation,BHS,389486,0.45,,,
Active recreation,BIH,3300998,0.73,,,
Active recreation,BLR,9445638,0.51,,,
Active recreation,BLZ,390351,0.44,,,
Active recreation,BOL,11513102,0.56,,,
Active recreation,BRA,184833335,0.63,,,
Active recreation,BRB,287021,0.45,,,
Active recreation,BRN,433296,0.27,,,
Active recreation,BTN,763094,0.23,,,
Active recreation,BWA,2303703,0.36,,,
Active recreation,CAF,4745179,0.44,,,
Active recreation,CAN,36026668,0.57,,,
Active recreation,CHE,8591361,0.66,,,
Active recreation,CHL,18952035,0.56,,,
Active recreation,CHN,1329915177,0.57,,,
Active recreation,CIV,25716554,0.42,,,
Active recreation,CMR,25876387,0.44,,,
Active recreation,COD,69020749,0.44,,,
Active recreation,COG,4145400,0.49,,,
Active recreation,COL,50339443,0.33,,,
Active recreation,COM,759390,0.39,,,
Active recreation,CPV,549936,0.42,,,
Active recreation,CRI,4949955,0.41,,,
Active recreation,CUB,11225833,0.47,,,
Active recreation,CUW,163423,0.45,,,
Active recreation,CYP,1198574,0.49,,,
Active recreation,CZE,10689213,0.5,,,
Active recreation,DEU,80827001,0.66,,,
Active recreation,DJI,973557,0.39,,,
Active recreation,DNK,5771877,0.63,,,
Active recreation,DOM,10738957,0.45,,,
Active recreation,DZA,41389174,0.52,,,
Active recreation,ECU,15951832,0.56,,,
Active recreation,EGY,100388076,0.62,,,
Active recreation,ERI,3497117,0.39,,,
Active recreation,ESH,582458,0.62,,,
Active recreation,ESP,46931011,0.89,,,
Active recreation,EST,1332103,0.66,,,
Active recreation,ETH,95385793,0.47,,,
Active recreation,FIN,5365784,0.8,,,
Active recreation,FJI,889955,0.26,,,
Active recreation,FRA,62879535,0.65,,,
Active recreation,FSM,113811,0.26,,,
Active recreation,GAB,2172578,0.44,,,
Active recreation,GBR,63459801,0.61,,,
Active recreation,GEO,3996762,0.49,,,
Active recreation,GHA,26607641,0.49,,,
Active recreation,GIN,12771246,0.42,,,
Active recreation,GLP,400048,0.45,,,
Active recreation,GMB,1905020,0.42,,,
Active recreation,GNB,1920917,0.42,,,
Active recreation,GNQ,1355982,0.44,,,
Active recreation,GRC,10887640,0.59,,,
Active recreation,GRD,112002,0.45,,,
Active recreation,GTM,16583079,0.45,,,
Active recreation,GUF,290823,0.57,,,
Active recreation,GUM,167295,0.26,,,
Active recreation,GUY,782775,0.56,,,
Active recreation,HKG,6924642,0.55,,,
Active recreation,HND,9746115,0.44,,,
Active recreation,HRV,4130299,0.73,,,
Active recreation,HTI,10250922,0.45,,,
Active recreation,HUN,9927380,0.4,,,
Active recreation,IDN,258383257,0.27,,,
Active recreation,IND,1366417756,0.22,,,
Active recreation,IRL,4415871,0.58,,,
Active recreation,IRN,82913893,0.66,,,
Active recreation,IRQ,39309789,0.56,,,
Active recreation,ISL,339037,0.64,,,
Active recreation,ISR,8243849,0.49,,,
Active recreation,ITA,59325232,0.66,,,
Active recreation,JAM,2948277,0.44,,,
Active recreation,JOR,10101697,0.49,,,
Active recreation,JPN,127763267,0.31,,,
Active recreation,KAZ,18080023,0.51,,,
Active recreation,KEN,52573967,0.39,,,
Active recreation,KGZ,5422298,0.52,,,
Active recreation,KHM,16486542,0.26,,,
Active recreation,KIR,117608,0.26,,,
Active recreation,KOR,50607904,0.59,,,
Active recreation,KWT,4207077,0.49,,,
Active recreation,LAO,6953031,0.26,,,
Active recreation,LBN,6855709,0.49,,,
Active recreation,LBR,4702224,0.42,,,
Active recreation,LBY,6777453,0.62,,,
Active recreation,LCA,182795,0.45,,,
Active recreation,LKA,21323734,0.23,,,
Active recreation,LSO,2125267,0.35,,,
Active recreation,LTU,3212867,0.5,,,
Active recreation,LUX,507890,0.81,,,
Active recreation,LVA,2171248,0.63,,,
Active recreation,MAC,640446,0.55,,,
Active recreation,MAR,33241898,0.8,,,
Active recreation,MDA,4043258,0.5,,,
Active recreation,MDG,24234080,0.39,,,
Active recreation,MDV,530957,0.24,,,
Active recreation,MEX,127575529,0.45,,,
Active recreation,MKD,2083458,0.73,,,
Active recreation,MLI,19077755,0.42,,,
Active recreation,MLT,440377,0.73,,,
Active recreation,MMR,54045422,0.26,,,
Active recreation,MNE,627988,0.73,,,
Active recreation,MNG,3225166,0.65,,,
Active recreation,MOZ,27042001,0.39,,,
Active recreation,MRT,4525698,0.42,,,
Active recreation,MTQ,375557,0.45,,,
Active recreation,MUS,1267184,0.33,,,
Active recreation,MWI,18628749,0.39,,,
Active recreation,MYS,31949789,0.26,,,
Active recreation,MYT,266153,0.39,,,
Active recreation,NAM,2448300,0.35,,,
Active recreation,NCL,282757,0.27,,,
Active recreation,NER,21602388,0.42,,,
Active recreation,NGA,200963603,0.42,,,
Active recreation,NIC,5982530,0.45,,,
Active recreation,NLD,16682927,0.65,,,
Active recreation,NOR,4885878,0.74,,,
Active recreation,NPL,27632682,0.23,,,
Active recreation,NZL,4323338,0.49,,,
Active recreation,OMN,4974992,0.55,,,
Active recreation,PAK,191260799,0.15,,,
Active recreation,PAN,3901311,0.45,,,
Active recreation,PER,32510462,0.56,,,
Active recreation,PHL,108116622,0.27,,,
Active recreation,PNG,8776119,0.26,,,
Active recreation,POL,38329784,0.62,,,
Active recreation,PRI,2933404,0.45,,,
Active recreation,PRK,25666158,0.55,,,
Active recreation,PRT,10226178,0.73,,,
Active recreation,PRY,7044639,0.57,,,
Active recreation,PSE,4981422,0.49,,,
Active recreation,PYF,279285,0.26,,,
Active recreation,QAT,2832071,0.49,,,
Active recreation,REU,888932,0.39,,,
Active recreation,ROU,20471860,0.38,,,
Active recreation,RUS,145734034,0.5,,,
Active recreation,RWA,12301969,0.39,,,
Active recreation,SAU,34268529,0.49,,,
Active recreation,SEN,16296362,0.42,,,
Active recreation,SGP,5804343,0.26,,,
Active recreation,SLB,571329,0.26,,,
Active recreation,SLE,7650149,0.42,,,
Active recreation,SLV,6183877,0.48,,,
Active recreation,SOM,15442906,0.39,,,
Active recreation,SRB,8963761,0.59,,,
Active recreation,SSD,11062114,0.39,,,
Active recreation,STP,215048,0.44,,,
Active recreation,SUR,581363,0.57,,,
Active recreation,SVK,5457012,0.5,,,
Active recreation,SVN,2023049,0.69,,,
Active recreation,SWE,9139759,0.77,,,
Active recreation,SWZ,1113994,0.35,,,
Active recreation,SYC,97741,0.39,,,
Active recreation,SYR,17070132,0.49,,,
Active recreation,TCD,15946882,0.44,,,
Active recreation,TGO,8082359,0.42,,,
Active recreation,THA,68714519,0.27,,,
Active recreation,TJK,9321023,0.52,,,
Active recreation,TKM,5942094,0.52,,,
Active recreation,TLS,1293120,0.26,,,
Active recreation,TON,103199,0.26,,,
Active recreation,TTO,1394969,0.45,,,
Active recreation,TUN,11694721,0.44,,,
Active recreation,TUR,72326992,0.46,,,
Active recreation,TWN,23773881,0.55,,,
Active recreation,TZA,49960563,0.24,,,
Active recreation,UGA,41166588,0.39,,,
Active recreation,UKR,44487708,0.5,,,
Active recreation,URY,3449290,0.57,,,
Active recreation,USA,329064917,0.48,,,
Active recreation,UZB,32981715,0.52,,,
Active recreation,VCT,110593,0.45,,,
Active recreation,VEN,29402480,0.58,,,
Active recreation,VIR,104579,0.45,,,
Active recreation,VNM,96462108,0.26,,,
Active recreation,VUT,299882,0.26,,,
Active recreation,WSM,197093,0.26,,,
Active recreation,YEM,25823488,0.49,,,
Active recreation,ZAF,51216967,0.36,,,
Active recreation,ZMB,17861034,0.39,,,
Active recreation,ZWE,14645473,0.39,,,
