Subcategory,countryISO3,population,hoursPerDayCombined,,,
Artifacts,ABW,101665,0.25,,,
Artifacts,AFG,36296111,0.18,,,
Artifacts,AGO,31825299,0.42,,,
Artifacts,ALB,2896307,0.4,,,
Artifacts,ARE,9770526,0.31,,,
Artifacts,ARG,44780675,0.54,,,
Artifacts,ARM,2925559,0.16,,,
Artifacts,ATG,97115,0.43,,,
Artifacts,AUS,21332293,0.36,,,
Artifacts,AUT,8453501,0.54,,,
Artifacts,AZE,10047719,0.19,,,
Artifacts,BDI,9844301,0.13,,,
Artifacts,BEL,10938735,0.33,,,
Artifacts,BEN,8902134,0.29,,,
Artifacts,BFA,17586029,0.46,,,
Artifacts,BGD,159685421,0.36,,,
Artifacts,BGR,7524084,0.58,,,
Artifacts,BHR,1641164,0.31,,,
Artifacts,BHS,389486,0.43,,,
Artifacts,BIH,3300998,0.43,,,
Artifacts,BLR,9445638,0.56,,,
Artifacts,BLZ,390351,0.31,,,
Artifacts,BOL,11513102,0.47,,,
Artifacts,BRA,184833335,0.46,,,
Artifacts,BRB,287021,0.43,,,
Artifacts,BRN,433296,0.17,,,
Artifacts,BTN,763094,0.16,,,
Artifacts,BWA,2303703,0.11,,,
Artifacts,CAF,4745179,0.42,,,
Artifacts,CAN,36026668,0.38,,,
Artifacts,CHE,8591361,0.4,,,
Artifacts,CHL,18952035,0.45,,,
Artifacts,CHN,1329915177,0.61,,,
Artifacts,CIV,25716554,0.21,,,
Artifacts,CMR,25876387,0.42,,,
Artifacts,COD,69020749,0.41,,,
Artifacts,COG,4145400,0.54,,,
Artifacts,COL,50339443,0.47,,,
Artifacts,COM,759390,0.28,,,
Artifacts,CPV,549936,0.24,,,
Artifacts,CRI,4949955,0.34,,,
Artifacts,CUB,11225833,0.39,,,
Artifacts,CUW,163423,0.43,,,
Artifacts,CYP,1198574,0.17,,,
Artifacts,CZE,10689213,0.92,,,
Artifacts,DEU,80827001,0.52,,,
Artifacts,DJI,973557,0.19,,,
Artifacts,DNK,5771877,0.36,,,
Artifacts,DOM,10738957,0.34,,,
Artifacts,DZA,41389174,0.2,,,
Artifacts,ECU,15951832,0.39,,,
Artifacts,EGY,100388076,0.23,,,
Artifacts,ERI,3497117,0.19,,,
Artifacts,ESH,582458,0.24,,,
Artifacts,ESP,46931011,0.33,,,
Artifacts,EST,1332103,0.51,,,
Artifacts,ETH,95385793,0.23,,,
Artifacts,FIN,5365784,0.43,,,
Artifacts,FJI,889955,0.49,,,
Artifacts,FRA,62879535,0.35,,,
Artifacts,FSM,113811,0.49,,,
Artifacts,GAB,2172578,0.42,,,
Artifacts,GBR,63459801,0.32,,,
Artifacts,GEO,3996762,0.15,,,
Artifacts,GHA,26607641,0.2,,,
Artifacts,GIN,12771246,0.24,,,
Artifacts,GLP,400048,0.43,,,
Artifacts,GMB,1905020,0.33,,,
Artifacts,GNB,1920917,0.24,,,
Artifacts,GNQ,1355982,0.42,,,
Artifacts,GRC,10887640,0.21,,,
Artifacts,GRD,112002,0.43,,,
Artifacts,GTM,16583079,0.52,,,
Artifacts,GUF,290823,0.45,,,
Artifacts,GUM,167295,0.49,,,
Artifacts,GUY,782775,0.28,,,
Artifacts,HKG,6924642,0.31,,,
Artifacts,HND,9746115,0.33,,,
Artifacts,HRV,4130299,0.39,,,
Artifacts,HTI,10250922,0.19,,,
Artifacts,HUN,9927380,0.45,,,
Artifacts,IDN,258383257,0.43,,,
Artifacts,IND,1366417756,0.28,,,
Artifacts,IRL,4415871,0.37,,,
Artifacts,IRN,82913893,0.32,,,
Artifacts,IRQ,39309789,0.3,,,
Artifacts,ISL,339037,0.23,,,
Artifacts,ISR,8243849,0.33,,,
Artifacts,ITA,59325232,0.48,,,
Artifacts,JAM,2948277,0.31,,,
Artifacts,JOR,10101697,0.19,,,
Artifacts,JPN,127763267,0.64,,,
Artifacts,KAZ,18080023,0.3,,,
Artifacts,KEN,52573967,0.22,,,
Artifacts,KGZ,5422298,0.41,,,
Artifacts,KHM,16486542,0.59,,,
Artifacts,KIR,117608,0.49,,,
Artifacts,KOR,50607904,0.61,,,
Artifacts,KWT,4207077,0.31,,,
Artifacts,LAO,6953031,0.18,,,
Artifacts,LBN,6855709,0.21,,,
Artifacts,LBR,4702224,0.11,,,
Artifacts,LBY,6777453,0.24,,,
Artifacts,LCA,182795,0.26,,,
Artifacts,LKA,21323734,0.35,,,
Artifacts,LSO,2125267,0.46,,,
Artifacts,LTU,3212867,0.51,,,
Artifacts,LUX,507890,0.22,,,
Artifacts,LVA,2171248,0.52,,,
Artifacts,MAC,640446,0.61,,,
Artifacts,MAR,33241898,0.3,,,
Artifacts,MDA,4043258,0.39,,,
Artifacts,MDG,24234080,0.2,,,
Artifacts,MDV,530957,0.11,,,
Artifacts,MEX,127575529,0.47,,,
Artifacts,MKD,2083458,0.44,,,
Artifacts,MLI,19077755,0.11,,,
Artifacts,MLT,440377,0.29,,,
Artifacts,MMR,54045422,0.34,,,
Artifacts,MNE,627988,0.25,,,
Artifacts,MNG,3225166,0.27,,,
Artifacts,MOZ,27042001,0.17,,,
Artifacts,MRT,4525698,0.12,,,
Artifacts,MTQ,375557,0.43,,,
Artifacts,MUS,1267184,0.4,,,
Artifacts,MWI,18628749,0.19,,,
Artifacts,MYS,31949789,0.72,,,
Artifacts,MYT,266153,0.19,,,
Artifacts,NAM,2448300,0.12,,,
Artifacts,NCL,282757,0.14,,,
Artifacts,NER,21602388,0.29,,,
Artifacts,NGA,200963603,0.24,,,
Artifacts,NIC,5982530,0.45,,,
Artifacts,NLD,16682927,0.35,,,
Artifacts,NOR,4885878,0.36,,,
Artifacts,NPL,27632682,0.3,,,
Artifacts,NZL,4323338,0.48,,,
Artifacts,OMN,4974992,0.28,,,
Artifacts,PAK,191260799,0.5,,,
Artifacts,PAN,3901311,0.2,,,
Artifacts,PER,32510462,0.33,,,
Artifacts,PHL,108116622,0.25,,,
Artifacts,PNG,8776119,0.49,,,
Artifacts,POL,38329784,0.47,,,
Artifacts,PRI,2933404,0.43,,,
Artifacts,PRK,25666158,0.61,,,
Artifacts,PRT,10226178,0.43,,,
Artifacts,PRY,7044639,0.45,,,
Artifacts,PSE,4981422,0.26,,,
Artifacts,PYF,279285,0.49,,,
Artifacts,QAT,2832071,0.22,,,
Artifacts,REU,888932,0.19,,,
Artifacts,ROU,20471860,0.46,,,
Artifacts,RUS,145734034,0.81,,,
Artifacts,RWA,12301969,0.18,,,
Artifacts,SAU,34268529,0.31,,,
Artifacts,SEN,16296362,0.34,,,
Artifacts,SGP,5804343,0.49,,,
Artifacts,SLB,571329,0.3,,,
Artifacts,SLE,7650149,0.09,,,
Artifacts,SLV,6183877,0.38,,,
Artifacts,SOM,15442906,0.19,,,
Artifacts,SRB,8963761,0.36,,,
Artifacts,SSD,11062114,0.19,,,
Artifacts,STP,215048,0.42,,,
Artifacts,SUR,581363,0.45,,,
Artifacts,SVK,5457012,0.84,,,
Artifacts,SVN,2023049,0.83,,,
Artifacts,SWE,9139759,0.41,,,
Artifacts,SWZ,1113994,0.18,,,
Artifacts,SYC,97741,0.19,,,
Artifacts,SYR,17070132,0.31,,,
Artifacts,TCD,15946882,0.42,,,
Artifacts,TGO,8082359,0.24,,,
Artifacts,THA,68714519,0.53,,,
Artifacts,TJK,9321023,0.32,,,
Artifacts,TKM,5942094,0.32,,,
Artifacts,TLS,1293120,0.49,,,
Artifacts,TON,103199,0.58,,,
Artifacts,TTO,1394969,0.43,,,
Artifacts,TUN,11694721,0.27,,,
Artifacts,TUR,72326992,0.4,,,
Artifacts,TWN,23773881,0.64,,,
Artifacts,TZA,49960563,0.11,,,
Artifacts,UGA,41166588,0.2,,,
Artifacts,UKR,44487708,0.56,,,
Artifacts,URY,3449290,0.48,,,
Artifacts,USA,329064917,0.41,,,
Artifacts,UZB,32981715,0.32,,,
Artifacts,VCT,110593,0.43,,,
Artifacts,VEN,29402480,0.48,,,
Artifacts,VIR,104579,0.43,,,
Artifacts,VNM,96462108,0.76,,,
Artifacts,VUT,299882,0.13,,,
Artifacts,WSM,197093,0.49,,,
Artifacts,YEM,25823488,0.23,,,
Artifacts,ZAF,51216967,0.27,,,
Artifacts,ZMB,17861034,0.17,,,
Artifacts,ZWE,14645473,0.18,,,
