Subcategory,countryISO3,population,hoursPerDayCombined,,,
Buildings,ABW,101665,0.22,,,
Buildings,AFG,36296111,0.2,,,
Buildings,AGO,31825299,0.03,,,
Buildings,ALB,2896307,0.28,,,
Buildings,ARE,9770526,0.21,,,
Buildings,ARG,44780675,0.28,,,
Buildings,ARM,2925559,0.15,,,
Buildings,ATG,97115,0.26,,,
Buildings,AUS,21332293,0.32,,,
Buildings,AUT,8453501,0.3,,,
Buildings,AZE,10047719,0.17,,,
Buildings,BDI,9844301,0.12,,,
Buildings,BEL,10938735,0.19,,,
Buildings,BEN,8902134,0.05,,,
Buildings,BFA,17586029,0.1,,,
Buildings,BGD,159685421,0.14,,,
Buildings,BGR,7524084,0.32,,,
Buildings,BHR,1641164,0.21,,,
Buildings,BHS,389486,0.26,,,
Buildings,BIH,3300998,0.19,,,
Buildings,BLR,9445638,0.27,,,
Buildings,BLZ,390351,0.2,,,
Buildings,BOL,11513102,0.26,,,
Buildings,BRA,184833335,0.31,,,
Buildings,BRB,287021,0.26,,,
Buildings,BRN,433296,0.46,,,
Buildings,BTN,763094,0.13,,,
Buildings,BWA,2303703,0.17,,,
Buildings,CAF,4745179,0.03,,,
Buildings,CAN,36026668,0.19,,,
Buildings,CHE,8591361,0.24,,,
Buildings,CHL,18952035,0.26,,,
Buildings,CHN,1329915177,0.16,,,
Buildings,CIV,25716554,0.08,,,
Buildings,CMR,25876387,0.03,,,
Buildings,COD,69020749,0.03,,,
Buildings,COG,4145400,0.03,,,
Buildings,COL,50339443,0.28,,,
Buildings,COM,759390,0.28,,,
Buildings,CPV,549936,0.1,,,
Buildings,CRI,4949955,0.24,,,
Buildings,CUB,11225833,0.16,,,
Buildings,CUW,163423,0.26,,,
Buildings,CYP,1198574,0.22,,,
Buildings,CZE,10689213,0.28,,,
Buildings,DEU,80827001,0.2,,,
Buildings,DJI,973557,0.16,,,
Buildings,DNK,5771877,0.22,,,
Buildings,DOM,10738957,0.25,,,
Buildings,DZA,41389174,0.24,,,
Buildings,ECU,15951832,0.29,,,
Buildings,EGY,100388076,0.24,,,
Buildings,ERI,3497117,0.16,,,
Buildings,ESH,582458,0.23,,,
Buildings,ESP,46931011,0.22,,,
Buildings,EST,1332103,0.26,,,
Buildings,ETH,95385793,0.17,,,
Buildings,FIN,5365784,0.24,,,
Buildings,FJI,889955,0.4,,,
Buildings,FRA,62879535,0.23,,,
Buildings,FSM,113811,0.4,,,
Buildings,GAB,2172578,0.03,,,
Buildings,GBR,63459801,0.23,,,
Buildings,GEO,3996762,0.18,,,
Buildings,GHA,26607641,0.12,,,
Buildings,GIN,12771246,0.1,,,
Buildings,GLP,400048,0.26,,,
Buildings,GMB,1905020,0.15,,,
Buildings,GNB,1920917,0.1,,,
Buildings,GNQ,1355982,0.03,,,
Buildings,GRC,10887640,0.16,,,
Buildings,GRD,112002,0.26,,,
Buildings,GTM,16583079,0.22,,,
Buildings,GUF,290823,0.28,,,
Buildings,GUM,167295,0.4,,,
Buildings,GUY,782775,0.26,,,
Buildings,HKG,6924642,0.25,,,
Buildings,HND,9746115,0.24,,,
Buildings,HRV,4130299,0.17,,,
Buildings,HTI,10250922,0.18,,,
Buildings,HUN,9927380,0.19,,,
Buildings,IDN,258383257,0.39,,,
Buildings,IND,1366417756,0.2,,,
Buildings,IRL,4415871,0.38,,,
Buildings,IRN,82913893,0.39,,,
Buildings,IRQ,39309789,0.29,,,
Buildings,ISL,339037,0.23,,,
Buildings,ISR,8243849,0.17,,,
Buildings,ITA,59325232,0.22,,,
Buildings,JAM,2948277,0.24,,,
Buildings,JOR,10101697,0.21,,,
Buildings,JPN,127763267,0.35,,,
Buildings,KAZ,18080023,0.28,,,
Buildings,KEN,52573967,0.23,,,
Buildings,KGZ,5422298,0.2,,,
Buildings,KHM,16486542,0.48,,,
Buildings,KIR,117608,0.4,,,
Buildings,KOR,50607904,0.16,,,
Buildings,KWT,4207077,0.21,,,
Buildings,LAO,6953031,0.26,,,
Buildings,LBN,6855709,0.22,,,
Buildings,LBR,4702224,0.06,,,
Buildings,LBY,6777453,0.23,,,
Buildings,LCA,182795,0.24,,,
Buildings,LKA,21323734,0.17,,,
Buildings,LSO,2125267,0.14,,,
Buildings,LTU,3212867,0.42,,,
Buildings,LUX,507890,0.24,,,
Buildings,LVA,2171248,0.42,,,
Buildings,MAC,640446,0.17,,,
Buildings,MAR,33241898,0.18,,,
Buildings,MDA,4043258,0.18,,,
Buildings,MDG,24234080,0.13,,,
Buildings,MDV,530957,0.11,,,
Buildings,MEX,127575529,0.29,,,
Buildings,MKD,2083458,0.18,,,
Buildings,MLI,19077755,0.07,,,
Buildings,MLT,440377,0.19,,,
Buildings,MMR,54045422,0.33,,,
