Subcategory,countryISO3,population,hoursPerDayCombined,,,
Energy,ABW,101665,0.05,,,
Energy,AFG,36296111,0.02,,,
Energy,AGO,31825299,0.08,,,
Energy,ALB,2896307,0.04,,,
Energy,ARE,9770526,0.03,,,
Energy,ARG,44780675,0.03,,,
Energy,ARM,2925559,0.06,,,
Energy,ATG,97115,0.04,,,
Energy,AUS,21332293,0.03,,,
Energy,AUT,8453501,0.03,,,
Energy,AZE,10047719,0.04,,,
Energy,BDI,9844301,0,,,
Energy,BEL,10938735,0.02,,,
Energy,BEN,8902134,0.05,,,
Energy,BFA,17586029,0.09,,,
Energy,BGD,159685421,0.02,,,
Energy,BGR,7524084,0.06,,,
Energy,BHR,1641164,0.03,,,
Energy,BHS,389486,0.04,,,
Energy,BIH,3300998,0.1,,,
Energy,BLR,9445638,0.15,,,
Energy,BLZ,390351,0.05,,,
Energy,BOL,11513102,0.04,,,
Energy,BRA,184833335,0.02,,,
Energy,BRB,287021,0.04,,,
Energy,BRN,433296,0.19,,,
Energy,BTN,763094,0.05,,,
Energy,BWA,2303703,0.1,,,
Energy,CAF,4745179,0.08,,,
Energy,CAN,36026668,0.04,,,
Energy,CHE,8591361,0.01,,,
Energy,CHL,18952035,0.05,,,
Energy,CHN,1329915177,0.06,,,
Energy,CIV,25716554,0.01,,,
Energy,CMR,25876387,0.08,,,
Energy,COD,69020749,0.08,,,
Energy,COG,4145400,0.06,,,
Energy,COL,50339443,0.03,,,
Energy,COM,759390,0.01,,,
Energy,CPV,549936,0.03,,,
Energy,CRI,4949955,0.06,,,
Energy,CUB,11225833,0.11,,,
Energy,CUW,163423,0.04,,,
Energy,CYP,1198574,0.02,,,
Energy,CZE,10689213,0.13,,,
Energy,DEU,80827001,0.03,,,
Energy,DJI,973557,0.01,,,
Energy,DNK,5771877,0.02,,,
Energy,DOM,10738957,0.03,,,
Energy,DZA,41389174,0.03,,,
Energy,ECU,15951832,0.03,,,
Energy,EGY,100388076,0.03,,,
Energy,ERI,3497117,0.01,,,
Energy,ESH,582458,0.04,,,
Energy,ESP,46931011,0.01,,,
Energy,EST,1332103,0.07,,,
Energy,ETH,95385793,0.01,,,
Energy,FIN,5365784,0.02,,,
Energy,FJI,889955,0.02,,,
Energy,FRA,62879535,0.02,,,
Energy,FSM,113811,0.02,,,
Energy,GAB,2172578,0.08,,,
Energy,GBR,63459801,0.02,,,
Energy,GEO,3996762,0.03,,,
Energy,GHA,26607641,0.01,,,
Energy,GIN,12771246,0.03,,,
Energy,GLP,400048,0.04,,,
Energy,GMB,1905020,0.01,,,
Energy,GNB,1920917,0.03,,,
Energy,GNQ,1355982,0.08,,,
Energy,GRC,10887640,0.02,,,
Energy,GRD,112002,0.04,,,
Energy,GTM,16583079,0.06,,,
Energy,GUF,290823,0.02,,,
Energy,GUM,167295,0.02,,,
Energy,GUY,782775,0.04,,,
Energy,HKG,6924642,0,,,
Energy,HND,9746115,0.03,,,
Energy,HRV,4130299,0.03,,,
Energy,HTI,10250922,0.11,,,
Energy,HUN,9927380,0.03,,,
Energy,IDN,258383257,0.03,,,
Energy,IND,1366417756,0.03,,,
Energy,IRL,4415871,0.01,,,
Energy,IRN,82913893,0.03,,,
Energy,IRQ,39309789,0.05,,,
Energy,ISL,339037,0.03,,,
Energy,ISR,8243849,0.02,,,
Energy,ITA,59325232,0.02,,,
Energy,JAM,2948277,0.06,,,
Energy,JOR,10101697,0.02,,,
Energy,JPN,127763267,0.02,,,
Energy,KAZ,18080023,0.06,,,
Energy,KEN,52573967,0.01,,,
Energy,KGZ,5422298,0,,,
Energy,KHM,16486542,0.01,,,
Energy,KIR,117608,0.02,,,
Energy,KOR,50607904,0.02,,,
Energy,KWT,4207077,0.03,,,
Energy,LAO,6953031,0.02,,,
Energy,LBN,6855709,0.02,,,
Energy,LBR,4702224,0.04,,,
Energy,LBY,6777453,0.04,,,
Energy,LCA,182795,0.04,,,
Energy,LKA,21323734,0.03,,,
Energy,LSO,2125267,0.12,,,
Energy,LTU,3212867,0.06,,,
Energy,LUX,507890,0.01,,,
Energy,LVA,2171248,0.06,,,
Energy,MAC,640446,0.05,,,
Energy,MAR,33241898,0.05,,,
Energy,MDA,4043258,0.15,,,
Energy,MDG,24234080,0.01,,,
Energy,MDV,530957,0.07,,,
Energy,MEX,127575529,0.03,,,
Energy,MKD,2083458,0.04,,,
Energy,MLI,19077755,0.01,,,
Energy,MLT,440377,0,,,
Energy,MMR,54045422,0.01,,,
Energy,MNE,627988,0.03,,,
Energy,MNG,3225166,0.21,,,
Energy,MOZ,27042001,0.01,,,
Energy,MRT,4525698,0.02,,,
Energy,MTQ,375557,0.04,,,
Energy,MUS,1267184,0.01,,,
Energy,MWI,18628749,0.01,,,
Energy,MYS,31949789,0.04,,,
Energy,MYT,266153,0.01,,,
Energy,NAM,2448300,0.1,,,
Energy,NCL,282757,0.1,,,
