Subcategory,countryISO3,population,hoursPerDayCombined,,,
Food growth & collection,ABW,101665,0.17,,,
Food growth & collection,AFG,36296111,0.88,,,
Food growth & collection,AGO,31825299,1.06,,,
Food growth & collection,ALB,2896307,0.82,,,
Food growth & collection,ARE,9770526,0.36,,,
Food growth & collection,ARG,44780675,0.13,,,
Food growth & collection,ARM,2925559,0.48,,,
Food growth & collection,ATG,97115,0.56,,,
Food growth & collection,AUS,21332293,0.13,,,
Food growth & collection,AUT,8453501,0.22,,,
Food growth & collection,AZE,10047719,0.61,,,
Food growth & collection,BDI,9844301,1.86,,,
Food growth & collection,BEL,10938735,0.09,,,
Food growth & collection,BEN,8902134,0.93,,,
Food growth & collection,BFA,17586029,0.63,,,
Food growth & collection,BGD,159685421,0.84,,,
Food growth & collection,BGR,7524084,0.57,,,
Food growth & collection,BHR,1641164,0.36,,,
Food growth & collection,BHS,389486,0.56,,,
Food growth & collection,BIH,3300998,0.38,,,
Food growth & collection,BLR,9445638,0.49,,,
Food growth & collection,BLZ,390351,0.53,,,
Food growth & collection,BOL,11513102,0.68,,,
Food growth & collection,BRA,184833335,0.35,,,
Food growth & collection,BRB,287021,0.56,,,
Food growth & collection,BRN,433296,0.06,,,
Food growth & collection,BTN,763094,1.2,,,
Food growth & collection,BWA,2303703,0.28,,,
Food growth & collection,CAF,4745179,1.06,,,
Food growth & collection,CAN,36026668,0.07,,,
Food growth & collection,CHE,8591361,0.11,,,
Food growth & collection,CHL,18952035,0.32,,,
Food growth & collection,CHN,1329915177,1.43,,,
Food growth & collection,CIV,25716554,1.09,,,
Food growth & collection,CMR,25876387,1.06,,,
Food growth & collection,COD,69020749,1.11,,,
Food growth & collection,COG,4145400,0.19,,,
Food growth & collection,COL,50339443,0.35,,,
Food growth & collection,COM,759390,0.77,,,
Food growth & collection,CPV,549936,0.97,,,
Food growth & collection,CRI,4949955,0.5,,,
Food growth & collection,CUB,11225833,0.66,,,
Food growth & collection,CUW,163423,0.56,,,
Food growth & collection,CYP,1198574,0.09,,,
Food growth & collection,CZE,10689213,0.26,,,
Food growth & collection,DEU,80827001,0.08,,,
Food growth & collection,DJI,973557,1.19,,,
Food growth & collection,DNK,5771877,0.11,,,
Food growth & collection,DOM,10738957,0.38,,,
Food growth & collection,DZA,41389174,0.16,,,
Food growth & collection,ECU,15951832,0.6,,,
Food growth & collection,EGY,100388076,0.37,,,
Food growth & collection,ERI,3497117,1.19,,,
Food growth & collection,ESH,582458,0.36,,,
Food growth & collection,ESP,46931011,0.15,,,
Food growth & collection,EST,1332103,0.13,,,
Food growth & collection,ETH,95385793,1.24,,,
Food growth & collection,FIN,5365784,0.1,,,
Food growth & collection,FJI,889955,0.85,,,
Food growth & collection,FRA,62879535,0.12,,,
Food growth & collection,FSM,113811,0.85,,,
Food growth & collection,GAB,2172578,1.06,,,
Food growth & collection,GBR,63459801,0.08,,,
Food growth & collection,GEO,3996762,0.52,,,
Food growth & collection,GHA,26607641,0.99,,,
Food growth & collection,GIN,12771246,0.97,,,
Food growth & collection,GLP,400048,0.56,,,
Food growth & collection,GMB,1905020,0.68,,,
Food growth & collection,GNB,1920917,0.97,,,
Food growth & collection,GNQ,1355982,1.06,,,
Food growth & collection,GRC,10887640,0.27,,,
Food growth & collection,GRD,112002,0.56,,,
Food growth & collection,GTM,16583079,0.86,,,
Food growth & collection,GUF,290823,0.37,,,
Food growth & collection,GUM,167295,0.85,,,
Food growth & collection,GUY,782775,0.44,,,
Food growth & collection,HKG,6924642,0.03,,,
Food growth & collection,HND,9746115,0.84,,,
Food growth & collection,HRV,4130299,0.18,,,
Food growth & collection,HTI,10250922,1.01,,,
Food growth & collection,HUN,9927380,0.21,,,
Food growth & collection,IDN,258383257,0.82,,,
Food growth & collection,IND,1366417756,0.97,,,
Food growth & collection,IRL,4415871,0.21,,,
Food growth & collection,IRN,82913893,0.38,,,
Food growth & collection,IRQ,39309789,0.22,,,
Food growth & collection,ISL,339037,0.18,,,
Food growth & collection,ISR,8243849,0.07,,,
Food growth & collection,ITA,59325232,0.13,,,
Food growth & collection,JAM,2948277,0.53,,,
Food growth & collection,JOR,10101697,0.11,,,
Food growth & collection,JPN,127763267,0.13,,,
Food growth & collection,KAZ,18080023,0.45,,,
Food growth & collection,KEN,52573967,0.63,,,
Food growth & collection,KGZ,5422298,0.67,,,
Food growth & collection,KHM,16486542,1,,,
Food growth & collection,KIR,117608,0.85,,,
Food growth & collection,KOR,50607904,0.23,,,
Food growth & collection,KWT,4207077,0.36,,,
Food growth & collection,LAO,6953031,1.97,,,
Food growth & collection,LBN,6855709,0.1,,,
Food growth & collection,LBR,4702224,0.91,,,
Food growth & collection,LBY,6777453,0.36,,,
Food growth & collection,LCA,182795,0.39,,,
Food growth & collection,LKA,21323734,0.61,,,
Food growth & collection,LSO,2125267,0.46,,,
Food growth & collection,LTU,3212867,0.44,,,
Food growth & collection,LUX,507890,0.08,,,
Food growth & collection,LVA,2171248,0.34,,,
Food growth & collection,MAC,640446,1.29,,,
Food growth & collection,MAR,33241898,0.6,,,
Food growth & collection,MDA,4043258,1.42,,,
Food growth & collection,MDG,24234080,1.55,,,
Food growth & collection,MDV,530957,0.5,,,
Food growth & collection,MEX,127575529,0.46,,,
Food growth & collection,MKD,2083458,0.34,,,
Food growth & collection,MLI,19077755,1.6,,,
Food growth & collection,MLT,440377,0.09,,,
Food growth & collection,MMR,54045422,1.56,,,
Food growth & collection,MNE,627988,0.2,,,
Food growth & collection,MNG,3225166,0.81,,,
Food growth & collection,MOZ,27042001,1.24,,,
Food growth & collection,MRT,4525698,0.95,,,
Food growth & collection,MTQ,375557,0.56,,,
Food growth & collection,MUS,1267184,0.16,,,
Food growth & collection,MWI,18628749,1.19,,,
Food growth & collection,MYS,31949789,0.3,,,
Food growth & collection,MYT,266153,1.19,,,
Food growth & collection,NAM,2448300,0.34,,,
Food growth & collection,NCL,282757,0.1,,,
Food growth & collection,NER,21602388,0.87,,,
Food growth & collection,NGA,200963603,0.97,,,
Food growth & collection,NIC,5982530,0.88,,,
Food growth & collection,NLD,16682927,0.13,,,
Food growth & collection,NOR,4885878,0.09,,,
Food growth & collection,NPL,27632682,0.6,,,
Food growth & collection,NZL,4323338,0.19,,,
Food growth & collection,OMN,4974992,0.36,,,
Food growth & collection,PAK,191260799,0.68,,,
Food growth & collection,PAN,3901311,0.47,,,
Food growth & collection,PER,32510462,0.57,,,
Food growth & collection,PHL,108116622,0.57,,,
Food growth & collection,PNG,8776119,0.85,,,
Food growth & collection,POL,38329784,0.34,,,
Food growth & collection,PRI,2933404,0.56,,,
Food growth & collection,PRK,25666158,1.29,,,
Food growth & collection,PRT,10226178,0.15,,,
Food growth & collection,PRY,7044639,0.37,,,
Food growth & collection,PSE,4981422,0.14,,,
Food growth & collection,PYF,279285,0.85,,,
Food growth & collection,QAT,2832071,0.13,,,
Food growth & collection,REU,888932,1.19,,,
Food growth & collection,ROU,20471860,0.83,,,
Food growth & collection,RUS,145734034,0.35,,,
Food growth & collection,RWA,12301969,0.81,,,
Food growth & collection,SAU,34268529,0.36,,,
Food growth & collection,SEN,16296362,0.45,,,
Food growth & collection,SGP,5804343,0.85,,,
Food growth & collection,SLB,571329,1.21,,,
Food growth & collection,SLE,7650149,1.1,,,
Food growth & collection,SLV,6183877,0.66,,,
Food growth & collection,SOM,15442906,1.19,,,
Food growth & collection,SRB,8963761,0.57,,,
Food growth & collection,SSD,11062114,1.19,,,
Food growth & collection,STP,215048,1.06,,,
Food growth & collection,SUR,581363,0.37,,,
Food growth & collection,SVK,5457012,0.25,,,
Food growth & collection,SVN,2023049,0.46,,,
Food growth & collection,SWE,9139759,0.13,,,
Food growth & collection,SWZ,1113994,0.23,,,
Food growth & collection,SYC,97741,1.19,,,
Food growth & collection,SYR,17070132,0.36,,,
Food growth & collection,TCD,15946882,1.06,,,
Food growth & collection,TGO,8082359,0.97,,,
Food growth & collection,THA,68714519,0.89,,,
Food growth & collection,TJK,9321023,0.5,,,
Food growth & collection,TKM,5942094,0.5,,,
Food growth & collection,TLS,1293120,0.85,,,
Food growth & collection,TON,103199,0.98,,,
Food growth & collection,TTO,1394969,0.56,,,
Food growth & collection,TUN,11694721,0.42,,,
Food growth & collection,TUR,72326992,0.45,,,
Food growth & collection,TWN,23773881,1.38,,,
Food growth & collection,TZA,49960563,1.63,,,
Food growth & collection,UGA,41166588,1.09,,,
Food growth & collection,UKR,44487708,0.54,,,
Food growth & collection,URY,3449290,0.33,,,
Food growth & collection,USA,329064917,0.06,,,
Food growth & collection,UZB,32981715,0.5,,,
Food growth & collection,VCT,110593,0.56,,,
Food growth & collection,VEN,29402480,0.28,,,
Food growth & collection,VIR,104579,0.56,,,
Food growth & collection,VNM,96462108,0.85,,,
Food growth & collection,VUT,299882,0.97,,,
Food growth & collection,WSM,197093,0.85,,,
Food growth & collection,YEM,25823488,0.44,,,
Food growth & collection,ZAF,51216967,0.23,,,
Food growth & collection,ZMB,17861034,1.11,,,
Food growth & collection,ZWE,14645473,1.24,,,
