Subcategory,countryISO3,population,hoursPerDayCombined,,,
Food processing,ABW,101665,0,,,
Food processing,AFG,36296111,0.1,,,
Food processing,AGO,31825299,0.02,,,
Food processing,ALB,2896307,0.04,,,
Food processing,ARE,9770526,0.04,,,
Food processing,ARG,44780675,0,,,
Food processing,ARM,2925559,0.09,,,
Food processing,ATG,97115,0.1,,,
Food processing,AUS,21332293,0,,,
Food processing,AUT,8453501,0.07,,,
Food processing,AZE,10047719,0.01,,,
Food processing,BDI,9844301,0.1,,,
Food processing,BEL,10938735,0.05,,,
Food processing,BEN,8902134,0.04,,,
Food processing,BFA,17586029,0.01,,,
Food processing,BGD,159685421,0.1,,,
Food processing,BGR,7524084,0.12,,,
Food processing,BHR,1641164,0.04,,,
Food processing,BHS,389486,0.1,,,
Food processing,BIH,3300998,0.08,,,
Food processing,BLR,9445638,0.13,,,
Food processing,BLZ,390351,0,,,
Food processing,BOL,11513102,0,,,
Food processing,BRA,184833335,0.06,,,
Food processing,BRB,287021,0.1,,,
Food processing,BRN,433296,0.02,,,
Food processing,BTN,763094,0.09,,,
Food processing,BWA,2303703,0.05,,,
Food processing,CAF,4745179,0.02,,,
Food processing,CAN,36026668,0.04,,,
Food processing,CHE,8591361,0.05,,,
Food processing,CHL,18952035,0,,,
Food processing,CHN,1329915177,0.05,,,
Food processing,CIV,25716554,0.06,,,
Food processing,CMR,25876387,0.02,,,
Food processing,COD,69020749,0.02,,,
Food processing,COG,4145400,0.04,,,
Food processing,COL,50339443,0.05,,,
Food processing,COM,759390,0.12,,,
Food processing,CPV,549936,0.07,,,
Food processing,CRI,4949955,0.09,,,
Food processing,CUB,11225833,0,,,
Food processing,CUW,163423,0.1,,,
Food processing,CYP,1198574,0.05,,,
Food processing,CZE,10689213,0.11,,,
Food processing,DEU,80827001,0.06,,,
Food processing,DJI,973557,0.13,,,
Food processing,DNK,5771877,0.06,,,
Food processing,DOM,10738957,0.08,,,
Food processing,DZA,41389174,0,,,
Food processing,ECU,15951832,0.08,,,
Food processing,EGY,100388076,0.05,,,
Food processing,ERI,3497117,0.13,,,
Food processing,ESH,582458,0.03,,,
Food processing,ESP,46931011,0.07,,,
Food processing,EST,1332103,0.06,,,
Food processing,ETH,95385793,0.16,,,
Food processing,FIN,5365784,0.04,,,
Food processing,FJI,889955,0.1,,,
Food processing,FRA,62879535,0.06,,,
Food processing,FSM,113811,0.1,,,
Food processing,GAB,2172578,0.02,,,
Food processing,GBR,63459801,0.04,,,
Food processing,GEO,3996762,0.06,,,
Food processing,GHA,26607641,0.1,,,
Food processing,GIN,12771246,0.07,,,
Food processing,GLP,400048,0.1,,,
Food processing,GMB,1905020,0.04,,,
Food processing,GNB,1920917,0.07,,,
Food processing,GNQ,1355982,0.02,,,
Food processing,GRC,10887640,0.07,,,
