Subcategory,countryISO3,population,hoursPerDayCombined,,,
Health care,ABW,101665,0.47,,,
Health care,AFG,36296111,0.06,,,
Health care,AGO,31825299,0.05,,,
Health care,ALB,2896307,0.1,,,
Health care,ARE,9770526,0.13,,,
Health care,ARG,44780675,0.16,,,
Health care,ARM,2925559,0.18,,,
Health care,ATG,97115,0.48,,,
Health care,AUS,21332293,0.31,,,
Health care,AUT,8453501,0.23,,,
Health care,AZE,10047719,0.12,,,
Health care,BDI,9844301,0.35,,,
Health care,BEL,10938735,0.19,,,
Health care,BEN,8902134,0.01,,,
Health care,BFA,17586029,0.24,,,
Health care,BGD,159685421,0.05,,,
Health care,BGR,7524084,0.13,,,
Health care,BHR,1641164,0.13,,,
Health care,BHS,389486,0.48,,,
Health care,BIH,3300998,0.17,,,
Health care,BLR,9445638,0.21,,,
Health care,BLZ,390351,0.55,,,
Health care,BOL,11513102,0.12,,,
Health care,BRA,184833335,0.18,,,
Health care,BRB,287021,0.48,,,
Health care,BRN,433296,0.45,,,
Health care,BTN,763094,0.06,,,
Health care,BWA,2303703,0.12,,,
Health care,CAF,4745179,0.05,,,
Health care,CAN,36026668,0.28,,,
Health care,CHE,8591361,0.26,,,
Health care,CHL,18952035,0.16,,,
Health care,CHN,1329915177,0.14,,,
Health care,CIV,25716554,0.25,,,
Health care,CMR,25876387,0.05,,,
Health care,COD,69020749,0.05,,,
Health care,COG,4145400,0.05,,,
Health care,COL,50339443,0.19,,,
Health care,COM,759390,0.38,,,
Health care,CPV,549936,0.25,,,
Health care,CRI,4949955,0.17,,,
Health care,CUB,11225833,0.55,,,
Health care,CUW,163423,0.48,,,
Health care,CYP,1198574,0.16,,,
Health care,CZE,10689213,0.23,,,
Health care,DEU,80827001,0.26,,,
Health care,DJI,973557,0.36,,,
Health care,DNK,5771877,0.31,,,
Health care,DOM,10738957,0.5,,,
Health care,DZA,41389174,0.09,,,
Health care,ECU,15951832,0.15,,,
Health care,EGY,100388076,0.12,,,
Health care,ERI,3497117,0.36,,,
Health care,ESH,582458,0.1,,,
Health care,ESP,46931011,0.22,,,
Health care,EST,1332103,0.2,,,
Health care,ETH,95385793,0.34,,,
Health care,FIN,5365784,0.25,,,
Health care,FJI,889955,0.39,,,
Health care,FRA,62879535,0.21,,,
Health care,FSM,113811,0.39,,,
Health care,GAB,2172578,0.05,,,
Health care,GBR,63459801,0.26,,,
Health care,GEO,3996762,0.16,,,
Health care,GHA,26607641,0.36,,,
Health care,GIN,12771246,0.25,,,
Health care,GLP,400048,0.48,,,
Health care,GMB,1905020,0.25,,,
Health care,GNB,1920917,0.25,,,
Health care,GNQ,1355982,0.05,,,
Health care,GRC,10887640,0.13,,,
Health care,GRD,112002,0.48,,,
Health care,GTM,16583079,0.43,,,
Health care,GUF,290823,0.17,,,
Health care,GUM,167295,0.39,,,
Health care,GUY,782775,0.12,,,
Health care,HKG,6924642,0.17,,,
Health care,HND,9746115,0.46,,,
Health care,HRV,4130299,0.2,,,
Health care,HTI,10250922,0.45,,,
Health care,HUN,9927380,0.16,,,
Health care,IDN,258383257,0.39,,,
