Subcategory,countryISO3,population,hoursPerDayCombined,,,
Human transportation,ABW,101665,0.73,,,
Human transportation,AFG,36296111,0.75,,,
Human transportation,AGO,31825299,1.02,,,
Human transportation,ALB,2896307,1.11,,,
Human transportation,ARE,9770526,0.77,,,
Human transportation,ARG,44780675,1.11,,,
Human transportation,ARM,2925559,0.77,,,
Human transportation,ATG,97115,0.69,,,
Human transportation,AUS,21332293,1.02,,,
Human transportation,AUT,8453501,0.87,,,
Human transportation,AZE,10047719,0.78,,,
Human transportation,BDI,9844301,0.98,,,
Human transportation,BEL,10938735,1.01,,,
Human transportation,BEN,8902134,0.86,,,
Human transportation,BFA,17586029,0.95,,,
Human transportation,BGD,159685421,0.76,,,
Human transportation,BGR,7524084,0.74,,,
Human transportation,BHR,1641164,0.77,,,
Human transportation,BHS,389486,0.69,,,
Human transportation,BIH,3300998,0.96,,,
Human transportation,BLR,9445638,0.92,,,
Human transportation,BLZ,390351,0.7,,,
Human transportation,BOL,11513102,1.14,,,
Human transportation,BRA,184833335,1.09,,,
Human transportation,BRB,287021,0.69,,,
Human transportation,BRN,433296,1.1,,,
Human transportation,BTN,763094,0.76,,,
Human transportation,BWA,2303703,1.02,,,
Human transportation,CAF,4745179,1.02,,,
Human transportation,CAN,36026668,1,,,
Human transportation,CHE,8591361,0.95,,,
Human transportation,CHL,18952035,1.12,,,
Human transportation,CHN,1329915177,0.96,,,
Human transportation,CIV,25716554,0.96,,,
Human transportation,CMR,25876387,1.02,,,
Human transportation,COD,69020749,1.02,,,
Human transportation,COG,4145400,1.09,,,
Human transportation,COL,50339443,0.86,,,
Human transportation,COM,759390,1.01,,,
Human transportation,CPV,549936,0.95,,,
Human transportation,CRI,4949955,0.64,,,
Human transportation,CUB,11225833,0.76,,,
Human transportation,CUW,163423,0.69,,,
Human transportation,CYP,1198574,0.76,,,
Human transportation,CZE,10689213,0.71,,,
Human transportation,DEU,80827001,0.96,,,
Human transportation,DJI,973557,0.99,,,
Human transportation,DNK,5771877,1.02,,,
Human transportation,DOM,10738957,0.7,,,
Human transportation,DZA,41389174,0.67,,,
Human transportation,ECU,15951832,1.04,,,
Human transportation,EGY,100388076,0.71,,,
Human transportation,ERI,3497117,0.99,,,
Human transportation,ESH,582458,0.72,,,
Human transportation,ESP,46931011,0.94,,,
Human transportation,EST,1332103,0.84,,,
Human transportation,ETH,95385793,0.96,,,
Human transportation,FIN,5365784,0.92,,,
Human transportation,FJI,889955,1.1,,,
Human transportation,FRA,62879535,0.93,,,
Human transportation,FSM,113811,1.1,,,
Human transportation,GAB,2172578,1.02,,,
Human transportation,GBR,63459801,1.05,,,
Human transportation,GEO,3996762,0.77,,,
Human transportation,GHA,26607641,1.01,,,
Human transportation,GIN,12771246,0.95,,,
Human transportation,GLP,400048,0.69,,,
Human transportation,GMB,1905020,0.95,,,
Human transportation,GNB,1920917,0.95,,,
Human transportation,GNQ,1355982,1.02,,,
Human transportation,GRC,10887640,0.8,,,
Human transportation,GRD,112002,0.69,,,
Human transportation,GTM,16583079,0.72,,,
Human transportation,GUF,290823,1.06,,,
Human transportation,GUM,167295,1.1,,,
Human transportation,GUY,782775,1.06,,,
Human transportation,HKG,6924642,1.11,,,
Human transportation,HND,9746115,0.68,,,
Human transportation,HRV,4130299,0.97,,,
Human transportation,HTI,10250922,0.71,,,
Human transportation,HUN,9927380,0.76,,,
Human transportation,IDN,258383257,1.09,,,
Human transportation,IND,1366417756,0.7,,,
Human transportation,IRL,4415871,0.85,,,
Human transportation,IRN,82913893,0.96,,,
Human transportation,IRQ,39309789,0.68,,,
Human transportation,ISL,339037,1.08,,,
Human transportation,ISR,8243849,0.77,,,
Human transportation,ITA,59325232,1.03,,,
Human transportation,JAM,2948277,0.76,,,
