Subcategory,countryISO3,population,hoursPerDayCombined,,,
Materials,ABW,101665,0.03,,,
Materials,AFG,36296111,0.04,,,
Materials,AGO,31825299,0.1,,,
Materials,ALB,2896307,0.05,,,
Materials,ARE,9770526,0.04,,,
Materials,ARG,44780675,0.03,,,
Materials,ARM,2925559,0.06,,,
Materials,ATG,97115,0.07,,,
Materials,AUS,21332293,0.06,,,
Materials,AUT,8453501,0.03,,,
Materials,AZE,10047719,0.1,,,
Materials,BDI,9844301,0.11,,,
Materials,BEL,10938735,0.01,,,
Materials,BEN,8902134,0.14,,,
Materials,BFA,17586029,0.41,,,
Materials,BGD,159685421,0.04,,,
Materials,BGR,7524084,0.04,,,
Materials,BHR,1641164,0.04,,,
Materials,BHS,389486,0.07,,,
Materials,BIH,3300998,0.05,,,
Materials,BLR,9445638,0.06,,,
Materials,BLZ,390351,0.08,,,
Materials,BOL,11513102,0.13,,,
Materials,BRA,184833335,0.05,,,
Materials,BRB,287021,0.07,,,
Materials,BRN,433296,0.08,,,
Materials,BTN,763094,0.06,,,
Materials,BWA,2303703,0.04,,,
Materials,CAF,4745179,0.1,,,
Materials,CAN,36026668,0.03,,,
Materials,CHE,8591361,0.01,,,
Materials,CHL,18952035,0.12,,,
Materials,CHN,1329915177,0.11,,,
Materials,CIV,25716554,0.08,,,
Materials,CMR,25876387,0.1,,,
Materials,COD,69020749,0.1,,,
Materials,COG,4145400,0.05,,,
Materials,COL,50339443,0.05,,,
Materials,COM,759390,0.04,,,
Materials,CPV,549936,0.14,,,
Materials,CRI,4949955,0.05,,,
Materials,CUB,11225833,0.11,,,
Materials,CUW,163423,0.07,,,
Materials,CYP,1198574,0.01,,,
Materials,CZE,10689213,0.07,,,
Materials,DEU,80827001,0.01,,,
Materials,DJI,973557,0.09,,,
Materials,DNK,5771877,0.01,,,
Materials,DOM,10738957,0.04,,,
Materials,DZA,41389174,0.04,,,
Materials,ECU,15951832,0.05,,,
Materials,EGY,100388076,0.03,,,
Materials,ERI,3497117,0.09,,,
Materials,ESH,582458,0.06,,,
Materials,ESP,46931011,0.02,,,
Materials,EST,1332103,0.04,,,
Materials,ETH,95385793,0.08,,,
Materials,FIN,5365784,0.03,,,
Materials,FJI,889955,0.07,,,
Materials,FRA,62879535,0.01,,,
Materials,FSM,113811,0.07,,,
Materials,GAB,2172578,0.1,,,
Materials,GBR,63459801,0.01,,,
Materials,GEO,3996762,0.04,,,
Materials,GHA,26607641,0.1,,,
Materials,GIN,12771246,0.14,,,
Materials,GLP,400048,0.07,,,
Materials,GMB,1905020,0.04,,,
Materials,GNB,1920917,0.14,,,
Materials,GNQ,1355982,0.1,,,
Materials,GRC,10887640,0.02,,,
Materials,GRD,112002,0.07,,,
Materials,GTM,16583079,0.13,,,
Materials,GUF,290823,0.06,,,
Materials,GUM,167295,0.07,,,
Materials,GUY,782775,0.17,,,
Materials,HKG,6924642,0.01,,,
Materials,HND,9746115,0.07,,,
Materials,HRV,4130299,0.03,,,
Materials,HTI,10250922,0.19,,,
Materials,HUN,9927380,0.02,,,
