Subcategory,countryISO3,population,hoursPerDayCombined,,,
Meals,ABW,101665,1.27,,,
Meals,AFG,36296111,1.62,,,
Meals,AGO,31825299,1.14,,,
Meals,ALB,2896307,2.02,,,
Meals,ARE,9770526,1.79,,,
Meals,ARG,44780675,1.31,,,
Meals,ARM,2925559,1.79,,,
Meals,ATG,97115,1.27,,,
Meals,AUS,21332293,1.45,,,
Meals,AUT,8453501,1.64,,,
Meals,AZE,10047719,1.79,,,
Meals,BDI,9844301,1.88,,,
Meals,BEL,10938735,1.89,,,
Meals,BEN,8902134,1.3,,,
Meals,BFA,17586029,1.59,,,
Meals,BGD,159685421,1.62,,,
Meals,BGR,7524084,1.92,,,
Meals,BHR,1641164,1.79,,,
Meals,BHS,389486,1.27,,,
Meals,BIH,3300998,2.02,,,
Meals,BLR,9445638,1.15,,,
Meals,BLZ,390351,1.27,,,
Meals,BOL,11513102,1.31,,,
Meals,BRA,184833335,1.36,,,
Meals,BRB,287021,1.27,,,
Meals,BRN,433296,1.83,,,
Meals,BTN,763094,1.62,,,
Meals,BWA,2303703,1.29,,,
Meals,CAF,4745179,1.14,,,
Meals,CAN,36026668,1.31,,,
Meals,CHE,8591361,1.96,,,
Meals,CHL,18952035,1.31,,,
Meals,CHN,1329915177,1.6,,,
Meals,CIV,25716554,1.59,,,
Meals,CMR,25876387,1.14,,,
Meals,COD,69020749,1.14,,,
Meals,COG,4145400,1.14,,,
Meals,COL,50339443,1.12,,,
Meals,COM,759390,1.88,,,
Meals,CPV,549936,1.59,,,
Meals,CRI,4949955,1.09,,,
Meals,CUB,11225833,1.27,,,
Meals,CUW,163423,1.27,,,
Meals,CYP,1198574,1.79,,,
Meals,CZE,10689213,1.54,,,
Meals,DEU,80827001,1.78,,,
Meals,DJI,973557,1.88,,,
Meals,DNK,5771877,1.6,,,
Meals,DOM,10738957,1.27,,,
Meals,DZA,41389174,1.79,,,
Meals,ECU,15951832,1.31,,,
Meals,EGY,100388076,1.57,,,
Meals,ERI,3497117,1.88,,,
Meals,ESH,582458,1.57,,,
Meals,ESP,46931011,2,,,
Meals,EST,1332103,1.52,,,
Meals,ETH,95385793,1.83,,,
Meals,FIN,5365784,1.58,,,
Meals,FJI,889955,1.83,,,
Meals,FRA,62879535,2.21,,,
Meals,FSM,113811,1.83,,,
Meals,GAB,2172578,1.14,,,
Meals,GBR,63459801,1.6,,,
Meals,GEO,3996762,1.79,,,
Meals,GHA,26607641,1.72,,,
Meals,GIN,12771246,1.59,,,
Meals,GLP,400048,1.27,,,
Meals,GMB,1905020,1.59,,,
Meals,GNB,1920917,1.59,,,
Meals,GNQ,1355982,1.14,,,
Meals,GRC,10887640,2.27,,,
Meals,GRD,112002,1.27,,,
Meals,GTM,16583079,1.27,,,
Meals,GUF,290823,1.31,,,
Meals,GUM,167295,1.83,,,
Meals,GUY,782775,1.31,,,
Meals,HKG,6924642,1.61,,,
Meals,HND,9746115,1.27,,,
Meals,HRV,4130299,2.02,,,
Meals,HTI,10250922,1.27,,,
Meals,HUN,9927380,1.69,,,
Meals,IDN,258383257,1.83,,,
Meals,IND,1366417756,1.66,,,
Meals,IRL,4415871,1.58,,,
Meals,IRN,82913893,1.47,,,
Meals,IRQ,39309789,1.54,,,
Meals,ISL,339037,1.6,,,
Meals,ISR,8243849,1.79,,,
Meals,ITA,59325232,2.01,,,
Meals,JAM,2948277,1.27,,,
Meals,JOR,10101697,1.79,,,
Meals,JPN,127763267,1.69,,,
Meals,KAZ,18080023,1.56,,,
Meals,KEN,52573967,1.88,,,
Meals,KGZ,5422298,1.56,,,
Meals,KHM,16486542,1.83,,,
Meals,KIR,117608,1.83,,,
Meals,KOR,50607904,1.92,,,
Meals,KWT,4207077,1.79,,,
Meals,LAO,6953031,1.83,,,
Meals,LBN,6855709,1.79,,,
Meals,LBR,4702224,1.59,,,
Meals,LBY,6777453,1.57,,,
Meals,LCA,182795,1.27,,,
Meals,LKA,21323734,1.62,,,
Meals,LSO,2125267,1.29,,,
Meals,LTU,3212867,1.57,,,
Meals,LUX,507890,1.9,,,
Meals,LVA,2171248,1.59,,,
Meals,MAC,640446,1.61,,,
Meals,MAR,33241898,1.41,,,
Meals,MDA,4043258,1.54,,,
Meals,MDG,24234080,1.88,,,
Meals,MDV,530957,1.62,,,
Meals,MEX,127575529,1.28,,,
Meals,MKD,2083458,2.02,,,
Meals,MLI,19077755,1.59,,,
Meals,MLT,440377,2.02,,,
Meals,MMR,54045422,1.83,,,
Meals,MNE,627988,2.02,,,
Meals,MNG,3225166,1.5,,,
Meals,MOZ,27042001,1.88,,,
Meals,MRT,4525698,1.59,,,
Meals,MTQ,375557,1.27,,,
Meals,MUS,1267184,1.38,,,
Meals,MWI,18628749,1.88,,,
Meals,MYS,31949789,1.83,,,
Meals,MYT,266153,1.88,,,
Meals,NAM,2448300,1.29,,,
Meals,NCL,282757,1.83,,,
Meals,NER,21602388,1.59,,,
Meals,NGA,200963603,1.59,,,
Meals,NIC,5982530,1.27,,,
Meals,NLD,16682927,2.09,,,
Meals,NOR,4885878,1.63,,,
Meals,NPL,27632682,1.62,,,
Meals,NZL,4323338,1.42,,,
Meals,OMN,4974992,1.21,,,
Meals,PAK,191260799,1.3,,,
Meals,PAN,3901311,1.27,,,
Meals,PER,32510462,1.31,,,
Meals,PHL,108116622,1.83,,,
Meals,PNG,8776119,1.83,,,
Meals,POL,38329784,1.71,,,
Meals,PRI,2933404,1.27,,,
Meals,PRK,25666158,1.61,,,
Meals,PRT,10226178,2.02,,,
Meals,PRY,7044639,1.31,,,
