Subcategory,countryISO3,population,hoursPerDayCombined,,,
Physical child care,ABW,101665,0.7,,,
Physical child care,AFG,36296111,0.27,,,
Physical child care,AGO,31825299,0.27,,,
Physical child care,ALB,2896307,0.33,,,
Physical child care,ARE,9770526,0.25,,,
Physical child care,ARG,44780675,0.33,,,
Physical child care,ARM,2925559,0.25,,,
Physical child care,ATG,97115,0.7,,,
Physical child care,AUS,21332293,0.34,,,
Physical child care,AUT,8453501,0.27,,,
Physical child care,AZE,10047719,0.25,,,
Physical child care,BDI,9844301,0.29,,,
Physical child care,BEL,10938735,0.2,,,
Physical child care,BEN,8902134,0.22,,,
Physical child care,BFA,17586029,0.3,,,
Physical child care,BGD,159685421,0.27,,,
Physical child care,BGR,7524084,0.16,,,
Physical child care,BHR,1641164,0.25,,,
Physical child care,BHS,389486,0.7,,,
Physical child care,BIH,3300998,0.24,,,
Physical child care,BLR,9445638,0.37,,,
Physical child care,BLZ,390351,0.72,,,
Physical child care,BOL,11513102,0.31,,,
Physical child care,BRA,184833335,0.3,,,
Physical child care,BRB,287021,0.7,,,
Physical child care,BRN,433296,0.28,,,
Physical child care,BTN,763094,0.27,,,
Physical child care,BWA,2303703,0.2,,,
Physical child care,CAF,4745179,0.27,,,
Physical child care,CAN,36026668,0.37,,,
Physical child care,CHE,8591361,0.2,,,
Physical child care,CHL,18952035,0.32,,,
Physical child care,CHN,1329915177,0.28,,,
Physical child care,CIV,25716554,0.3,,,
Physical child care,CMR,25876387,0.27,,,
Physical child care,COD,69020749,0.27,,,
Physical child care,COG,4145400,0.27,,,
Physical child care,COL,50339443,0.38,,,
Physical child care,COM,759390,0.29,,,
Physical child care,CPV,549936,0.3,,,
Physical child care,CRI,4949955,0.48,,,
Physical child care,CUB,11225833,0.72,,,
Physical child care,CUW,163423,0.7,,,
Physical child care,CYP,1198574,0.25,,,
Physical child care,CZE,10689213,0.4,,,
Physical child care,DEU,80827001,0.17,,,
Physical child care,DJI,973557,0.29,,,
Physical child care,DNK,5771877,0.29,,,
Physical child care,DOM,10738957,0.7,,,
Physical child care,DZA,41389174,0.19,,,
Physical child care,ECU,15951832,0.31,,,
Physical child care,EGY,100388076,0.2,,,
Physical child care,ERI,3497117,0.29,,,
Physical child care,ESH,582458,0.2,,,
Physical child care,ESP,46931011,0.34,,,
Physical child care,EST,1332103,0.27,,,
Physical child care,ETH,95385793,0.31,,,
Physical child care,FIN,5365784,0.25,,,
Physical child care,FJI,889955,0.26,,,
Physical child care,FRA,62879535,0.24,,,
Physical child care,FSM,113811,0.26,,,
Physical child care,GAB,2172578,0.27,,,
Physical child care,GBR,63459801,0.26,,,
Physical child care,GEO,3996762,0.25,,,
Physical child care,GHA,26607641,0.33,,,
Physical child care,GIN,12771246,0.3,,,
Physical child care,GLP,400048,0.7,,,
Physical child care,GMB,1905020,0.29,,,
Physical child care,GNB,1920917,0.3,,,
Physical child care,GNQ,1355982,0.27,,,
Physical child care,GRC,10887640,0.16,,,
Physical child care,GRD,112002,0.7,,,
Physical child care,GTM,16583079,0.7,,,
Physical child care,GUF,290823,0.32,,,
Physical child care,GUM,167295,0.26,,,
Physical child care,GUY,782775,0.3,,,
Physical child care,HKG,6924642,0.28,,,
Physical child care,HND,9746115,0.69,,,
Physical child care,HRV,4130299,0.24,,,
Physical child care,HTI,10250922,0.74,,,
Physical child care,HUN,9927380,0.27,,,
Physical child care,IDN,258383257,0.27,,,
Physical child care,IND,1366417756,0.25,,,
Physical child care,IRL,4415871,0.77,,,
Physical child care,IRN,82913893,0.2,,,
Physical child care,IRQ,39309789,0.29,,,
Physical child care,ISL,339037,0.28,,,
Physical child care,ISR,8243849,0.25,,,
Physical child care,ITA,59325232,0.19,,,
Physical child care,JAM,2948277,0.7,,,
Physical child care,JOR,10101697,0.27,,,
Physical child care,JPN,127763267,0.31,,,
Physical child care,KAZ,18080023,0.26,,,
Physical child care,KEN,52573967,0.3,,,
Physical child care,KGZ,5422298,0.25,,,
Physical child care,KHM,16486542,0.26,,,
Physical child care,KIR,117608,0.26,,,
Physical child care,KOR,50607904,0.2,,,
Physical child care,KWT,4207077,0.25,,,
Physical child care,LAO,6953031,0.26,,,
Physical child care,LBN,6855709,0.26,,,
Physical child care,LBR,4702224,0.3,,,
Physical child care,LBY,6777453,0.2,,,
Physical child care,LCA,182795,0.7,,,
Physical child care,LKA,21323734,0.28,,,
Physical child care,LSO,2125267,0.2,,,
Physical child care,LTU,3212867,0.21,,,
Physical child care,LUX,507890,0.22,,,
Physical child care,LVA,2171248,0.19,,,
Physical child care,MAC,640446,0.27,,,
Physical child care,MAR,33241898,0.22,,,
Physical child care,MDA,4043258,0.41,,,
Physical child care,MDG,24234080,0.29,,,
Physical child care,MDV,530957,0.28,,,
Physical child care,MEX,127575529,0.71,,,
Physical child care,MKD,2083458,0.24,,,
Physical child care,MLI,19077755,0.31,,,
Physical child care,MLT,440377,0.24,,,
Physical child care,MMR,54045422,0.26,,,
Physical child care,MNE,627988,0.25,,,
Physical child care,MNG,3225166,0.6,,,
Physical child care,MOZ,27042001,0.29,,,
Physical child care,MRT,4525698,0.31,,,
Physical child care,MTQ,375557,0.7,,,
Physical child care,MUS,1267184,0.26,,,
Physical child care,MWI,18628749,0.29,,,
Physical child care,MYS,31949789,0.27,,,
Physical child care,MYT,266153,0.29,,,
Physical child care,NAM,2448300,0.21,,,
Physical child care,NCL,282757,0.26,,,
Physical child care,NER,21602388,0.3,,,
Physical child care,NGA,200963603,0.3,,,
Physical child care,NIC,5982530,0.7,,,
Physical child care,NLD,16682927,0.21,,,
Physical child care,NOR,4885878,0.29,,,
Physical child care,NPL,27632682,0.27,,,
Physical child care,NZL,4323338,0.28,,,
Physical child care,OMN,4974992,0.29,,,
Physical child care,PAK,191260799,0.52,,,
Physical child care,PAN,3901311,0.69,,,
Physical child care,PER,32510462,0.31,,,
Physical child care,PHL,108116622,0.27,,,
