Subcategory,countryISO3,population,hoursPerDayCombined,,,
Sleep & bedrest,ABW,101665,8.21,,,
Sleep & bedrest,AFG,36296111,9.49,,,
Sleep & bedrest,AGO,31825299,9.79,,,
Sleep & bedrest,ALB,2896307,9.4,,,
Sleep & bedrest,ARE,9770526,9.45,,,
Sleep & bedrest,ARG,44780675,8.78,,,
Sleep & bedrest,ARM,2925559,9.45,,,
Sleep & bedrest,ATG,97115,8.21,,,
Sleep & bedrest,AUS,21332293,8.9,,,
Sleep & bedrest,AUT,8453501,8.78,,,
Sleep & bedrest,AZE,10047719,9.45,,,
Sleep & bedrest,BDI,9844301,8.93,,,
Sleep & bedrest,BEL,10938735,8.91,,,
Sleep & bedrest,BEN,8902134,10.01,,,
Sleep & bedrest,BFA,17586029,8.83,,,
Sleep & bedrest,BGD,159685421,9.49,,,
Sleep & bedrest,BGR,7524084,9.25,,,
Sleep & bedrest,BHR,1641164,9.45,,,
Sleep & bedrest,BHS,389486,8.21,,,
Sleep & bedrest,BIH,3300998,8.83,,,
Sleep & bedrest,BLR,9445638,9.15,,,
Sleep & bedrest,BLZ,390351,8.21,,,
Sleep & bedrest,BOL,11513102,8.78,,,
Sleep & bedrest,BRA,184833335,8.87,,,
Sleep & bedrest,BRB,287021,8.21,,,
Sleep & bedrest,BRN,433296,8.5,,,
Sleep & bedrest,BTN,763094,9.49,,,
Sleep & bedrest,BWA,2303703,9.73,,,
Sleep & bedrest,CAF,4745179,9.79,,,
Sleep & bedrest,CAN,36026668,9.04,,,
Sleep & bedrest,CHE,8591361,8.77,,,
Sleep & bedrest,CHL,18952035,8.78,,,
Sleep & bedrest,CHN,1329915177,9.29,,,
Sleep & bedrest,CIV,25716554,8.83,,,
Sleep & bedrest,CMR,25876387,9.79,,,
Sleep & bedrest,COD,69020749,9.79,,,
Sleep & bedrest,COG,4145400,9.79,,,
Sleep & bedrest,COL,50339443,8.47,,,
Sleep & bedrest,COM,759390,8.93,,,
Sleep & bedrest,CPV,549936,8.83,,,
Sleep & bedrest,CRI,4949955,8.63,,,
Sleep & bedrest,CUB,11225833,8.21,,,
Sleep & bedrest,CUW,163423,8.21,,,
Sleep & bedrest,CYP,1198574,9.45,,,
Sleep & bedrest,CZE,10689213,8.95,,,
Sleep & bedrest,DEU,80827001,8.67,,,
Sleep & bedrest,DJI,973557,8.93,,,
Sleep & bedrest,DNK,5771877,8.84,,,
Sleep & bedrest,DOM,10738957,8.21,,,
Sleep & bedrest,DZA,41389174,9.94,,,
Sleep & bedrest,ECU,15951832,8.78,,,
Sleep & bedrest,EGY,100388076,9.33,,,
Sleep & bedrest,ERI,3497117,8.93,,,
Sleep & bedrest,ESH,582458,9.33,,,
Sleep & bedrest,ESP,46931011,8.87,,,
Sleep & bedrest,EST,1332103,9.11,,,
Sleep & bedrest,ETH,95385793,8.92,,,
Sleep & bedrest,FIN,5365784,8.95,,,
Sleep & bedrest,FJI,889955,8.5,,,
Sleep & bedrest,FRA,62879535,8.87,,,
Sleep & bedrest,FSM,113811,8.5,,,
Sleep & bedrest,GAB,2172578,9.79,,,
Sleep & bedrest,GBR,63459801,8.93,,,
Sleep & bedrest,GEO,3996762,9.45,,,
Sleep & bedrest,GHA,26607641,8.33,,,
Sleep & bedrest,GIN,12771246,8.83,,,
Sleep & bedrest,GLP,400048,8.21,,,
Sleep & bedrest,GMB,1905020,8.83,,,
Sleep & bedrest,GNB,1920917,8.83,,,
Sleep & bedrest,GNQ,1355982,9.79,,,
Sleep & bedrest,GRC,10887640,8.87,,,
Sleep & bedrest,GRD,112002,8.21,,,
Sleep & bedrest,GTM,16583079,8.21,,,
Sleep & bedrest,GUF,290823,8.78,,,
Sleep & bedrest,GUM,167295,8.5,,,
Sleep & bedrest,GUY,782775,8.78,,,
Sleep & bedrest,HKG,6924642,9.15,,,
Sleep & bedrest,HND,9746115,8.21,,,
Sleep & bedrest,HRV,4130299,8.83,,,
Sleep & bedrest,HTI,10250922,8.21,,,
Sleep & bedrest,HUN,9927380,8.82,,,
Sleep & bedrest,IDN,258383257,8.5,,,
Sleep & bedrest,IND,1366417756,9.57,,,
Sleep & bedrest,IRL,4415871,8.72,,,
Sleep & bedrest,IRN,82913893,9.17,,,
Sleep & bedrest,IRQ,39309789,10.21,,,
Sleep & bedrest,ISL,339037,8.84,,,
Sleep & bedrest,ISR,8243849,9.45,,,
Sleep & bedrest,ITA,59325232,8.79,,,
Sleep & bedrest,JAM,2948277,8.21,,,
Sleep & bedrest,JOR,10101697,9.45,,,
Sleep & bedrest,JPN,127763267,8.01,,,
Sleep & bedrest,KAZ,18080023,8.74,,,
Sleep & bedrest,KEN,52573967,8.93,,,
Sleep & bedrest,KGZ,5422298,8.74,,,
Sleep & bedrest,KHM,16486542,8.5,,,
Sleep & bedrest,KIR,117608,8.5,,,
Sleep & bedrest,KOR,50607904,8.36,,,
Sleep & bedrest,KWT,4207077,9.45,,,
Sleep & bedrest,LAO,6953031,8.5,,,
Sleep & bedrest,LBN,6855709,9.45,,,
Sleep & bedrest,LBR,4702224,8.83,,,
Sleep & bedrest,LBY,6777453,9.33,,,
Sleep & bedrest,LCA,182795,8.21,,,
Sleep & bedrest,LKA,21323734,9.49,,,
Sleep & bedrest,LSO,2125267,9.73,,,
Sleep & bedrest,LTU,3212867,8.84,,,
Sleep & bedrest,LUX,507890,8.98,,,
Sleep & bedrest,LVA,2171248,8.87,,,
Sleep & bedrest,MAC,640446,9.15,,,
