Subcategory,countryISO3,population,hoursPerDayCombined,,,
Allocation,ABW,101665,1.54,,,
Allocation,AFG,36296111,0.74,,,
Allocation,AGO,31825299,0.49,,,
Allocation,ALB,2896307,0.6,,,
Allocation,ARE,9770526,0.79,,,
Allocation,ARG,44780675,1.41,,,
Allocation,ARM,2925559,0.72,,,
Allocation,ATG,97115,1.29,,,
Allocation,AUS,21332293,1.35,,,
Allocation,AUT,8453501,1.38,,,
Allocation,AZE,10047719,0.73,,,
Allocation,BDI,9844301,0.49,,,
Allocation,BEL,10938735,1.13,,,
Allocation,BEN,8902134,0.89,,,
Allocation,BFA,17586029,0.87,,,
Allocation,BGD,159685421,0.55,,,
Allocation,BGR,7524084,0.96,,,
Allocation,BHR,1641164,0.79,,,
Allocation,BHS,389486,1.29,,,
Allocation,BIH,3300998,1,,,
Allocation,BLR,9445638,1.03,,,
Allocation,BLZ,390351,1.93,,,
Allocation,BOL,11513102,0.98,,,
Allocation,BRA,184833335,1.25,,,
Allocation,BRB,287021,1.29,,,
Allocation,BRN,433296,1.44,,,
Allocation,BTN,763094,0.5,,,
Allocation,BWA,2303703,0.98,,,
Allocation,CAF,4745179,0.49,,,
Allocation,CAN,36026668,1.73,,,
Allocation,CHE,8591361,1.28,,,
Allocation,CHL,18952035,1.18,,,
Allocation,CHN,1329915177,0.94,,,
Allocation,CIV,25716554,0.88,,,
Allocation,CMR,25876387,0.49,,,
Allocation,COD,69020749,0.48,,,
Allocation,COG,4145400,0.63,,,
Allocation,COL,50339443,1.18,,,
Allocation,COM,759390,1.01,,,
Allocation,CPV,549936,0.9,,,
Allocation,CRI,4949955,1.16,,,
Allocation,CUB,11225833,1,,,
Allocation,CUW,163423,1.29,,,
Allocation,CYP,1198574,1,,,
Allocation,CZE,10689213,0.96,,,
Allocation,DEU,80827001,1.41,,,
Allocation,DJI,973557,0.8,,,
Allocation,DNK,5771877,1.23,,,
Allocation,DOM,10738957,1.32,,,
Allocation,DZA,41389174,0.71,,,
Allocation,ECU,15951832,1.13,,,
Allocation,EGY,100388076,0.66,,,
Allocation,ERI,3497117,0.8,,,
Allocation,ESH,582458,0.71,,,
Allocation,ESP,46931011,1.26,,,
Allocation,EST,1332103,1.15,,,
Allocation,ETH,95385793,0.68,,,
Allocation,FIN,5365784,1.01,,,
Allocation,FJI,889955,1.08,,,
Allocation,FRA,62879535,1.14,,,
Allocation,FSM,113811,1.08,,,
Allocation,GAB,2172578,0.49,,,
Allocation,GBR,63459801,1.33,,,
Allocation,GEO,3996762,0.73,,,
Allocation,GHA,26607641,0.92,,,
Allocation,GIN,12771246,0.9,,,
Allocation,GLP,400048,1.29,,,
Allocation,GMB,1905020,1.22,,,
Allocation,GNB,1920917,0.9,,,
Allocation,GNQ,1355982,0.49,,,
Allocation,GRC,10887640,0.94,,,
Allocation,GRD,112002,1.29,,,
Allocation,GTM,16583079,1.22,,,
Allocation,GUF,290823,1.23,,,
Allocation,GUM,167295,1.08,,,
Allocation,GUY,782775,1.29,,,
Allocation,HKG,6924642,1.89,,,
Allocation,HND,9746115,1.29,,,
Allocation,HRV,4130299,1.07,,,
Allocation,HTI,10250922,1.26,,,
Allocation,HUN,9927380,0.96,,,
Allocation,IDN,258383257,1.14,,,
Allocation,IND,1366417756,0.5,,,
Allocation,IRL,4415871,1.04,,,
Allocation,IRN,82913893,0.72,,,
Allocation,IRQ,39309789,0.55,,,
Allocation,ISL,339037,1.17,,,
Allocation,ISR,8243849,0.93,,,
Allocation,ITA,59325232,1.19,,,
Allocation,JAM,2948277,1.45,,,
Allocation,JOR,10101697,1.04,,,
Allocation,JPN,127763267,1.48,,,
Allocation,KAZ,18080023,0.89,,,
Allocation,KEN,52573967,1.04,,,
Allocation,KGZ,5422298,0.67,,,
Allocation,KHM,16486542,1.04,,,
Allocation,KIR,117608,1.08,,,
Allocation,KOR,50607904,1.22,,,
Allocation,KWT,4207077,0.79,,,
Allocation,LAO,6953031,0.85,,,
Allocation,LBN,6855709,0.99,,,
Allocation,LBR,4702224,1.17,,,
Allocation,LBY,6777453,0.71,,,
Allocation,LCA,182795,1.42,,,
Allocation,LKA,21323734,0.69,,,
Allocation,LSO,2125267,0.58,,,
Allocation,LTU,3212867,1.22,,,
Allocation,LUX,507890,1.75,,,
Allocation,LVA,2171248,1.36,,,
Allocation,MAC,640446,0.99,,,
Allocation,MAR,33241898,0.8,,,
Allocation,MDA,4043258,0.73,,,
Allocation,MDG,24234080,0.64,,,
Allocation,MDV,530957,0.76,,,
Allocation,MEX,127575529,1.3,,,
Allocation,MKD,2083458,1.05,,,
Allocation,MLI,19077755,0.66,,,
Allocation,MLT,440377,1.22,,,
Allocation,MMR,54045422,0.88,,,
Allocation,MNE,627988,1.31,,,
Allocation,MNG,3225166,0.86,,,
Allocation,MOZ,27042001,0.86,,,
Allocation,MRT,4525698,0.92,,,
Allocation,MTQ,375557,1.29,,,
Allocation,MUS,1267184,1.31,,,
Allocation,MWI,18628749,0.8,,,
Allocation,MYS,31949789,1.22,,,
Allocation,MYT,266153,0.8,,,
Allocation,NAM,2448300,0.69,,,
Allocation,NCL,282757,1.47,,,
Allocation,NER,21602388,0.83,,,
Allocation,NGA,200963603,0.9,,,
Allocation,NIC,5982530,1.2,,,
Allocation,NLD,16682927,1.28,,,
Allocation,NOR,4885878,1.07,,,
Allocation,NPL,27632682,0.59,,,
Allocation,NZL,4323338,1.28,,,
Allocation,OMN,4974992,0.79,,,
Allocation,PAK,191260799,0.73,,,
Allocation,PAN,3901311,1.37,,,
Allocation,PER,32510462,1.18,,,
Allocation,PHL,108116622,1.38,,,
Allocation,PNG,8776119,1.08,,,
Allocation,POL,38329784,1.14,,,
Allocation,PRI,2933404,1.29,,,
Allocation,PRK,25666158,0.99,,,
Allocation,PRT,10226178,1.12,,,
Allocation,PRY,7044639,1.23,,,
Allocation,PSE,4981422,0.93,,,
Allocation,PYF,279285,1.08,,,
Allocation,QAT,2832071,0.63,,,
Allocation,REU,888932,0.8,,,
Allocation,ROU,20471860,0.84,,,
Allocation,RUS,145734034,1.14,,,
Allocation,RWA,12301969,0.89,,,
Allocation,SAU,34268529,0.79,,,
Allocation,SEN,16296362,1.04,,,
Allocation,SGP,5804343,1.08,,,
Allocation,SLB,571329,0.91,,,
Allocation,SLE,7650149,1.09,,,
Allocation,SLV,6183877,1.64,,,
Allocation,SOM,15442906,0.8,,,
Allocation,SRB,8963761,0.81,,,
Allocation,SSD,11062114,0.8,,,
Allocation,STP,215048,0.49,,,
Allocation,SUR,581363,1.23,,,
Allocation,SVK,5457012,1,,,
Allocation,SVN,2023049,0.96,,,
Allocation,SWE,9139759,1.13,,,
Allocation,SWZ,1113994,0.81,,,
Allocation,SYC,97741,0.8,,,
Allocation,SYR,17070132,0.79,,,
Allocation,TCD,15946882,0.49,,,
