Subcategory,countryISO3,population,hoursPerDayCombined,,,
Food preparation,ABW,101665,1.47,,,
Food preparation,AFG,36296111,1.14,,,
Food preparation,AGO,31825299,0.81,,,
Food preparation,ALB,2896307,1.1,,,
Food preparation,ARE,9770526,0.88,,,
Food preparation,ARG,44780675,0.7,,,
Food preparation,ARM,2925559,0.85,,,
Food preparation,ATG,97115,1.15,,,
Food preparation,AUS,21332293,0.81,,,
Food preparation,AUT,8453501,0.82,,,
Food preparation,AZE,10047719,0.83,,,
Food preparation,BDI,9844301,0.72,,,
Food preparation,BEL,10938735,0.78,,,
Food preparation,BEN,8902134,0.79,,,
Food preparation,BFA,17586029,0.66,,,
Food preparation,BGD,159685421,1.18,,,
Food preparation,BGR,7524084,1.25,,,
Food preparation,BHR,1641164,0.88,,,
Food preparation,BHS,389486,1.15,,,
Food preparation,BIH,3300998,1,,,
Food preparation,BLR,9445638,1.08,,,
Food preparation,BLZ,390351,1,,,
Food preparation,BOL,11513102,0.73,,,
Food preparation,BRA,184833335,0.67,,,
Food preparation,BRB,287021,1.15,,,
Food preparation,BRN,433296,0.84,,,
Food preparation,BTN,763094,1.17,,,
Food preparation,BWA,2303703,0.83,,,
Food preparation,CAF,4745179,0.81,,,
Food preparation,CAN,36026668,0.89,,,
Food preparation,CHE,8591361,0.74,,,
Food preparation,CHL,18952035,0.7,,,
Food preparation,CHN,1329915177,1.01,,,
Food preparation,CIV,25716554,0.73,,,
Food preparation,CMR,25876387,0.81,,,
Food preparation,COD,69020749,0.81,,,
Food preparation,COG,4145400,0.81,,,
Food preparation,COL,50339443,0.91,,,
Food preparation,COM,759390,0.73,,,
Food preparation,CPV,549936,0.67,,,
Food preparation,CRI,4949955,1.22,,,
Food preparation,CUB,11225833,1,,,
Food preparation,CUW,163423,1.15,,,
Food preparation,CYP,1198574,0.93,,,
Food preparation,CZE,10689213,1.02,,,
Food preparation,DEU,80827001,0.69,,,
Food preparation,DJI,973557,0.76,,,
Food preparation,DNK,5771877,0.77,,,
Food preparation,DOM,10738957,1.15,,,
Food preparation,DZA,41389174,1.14,,,
Food preparation,ECU,15951832,0.73,,,
Food preparation,EGY,100388076,1.17,,,
Food preparation,ERI,3497117,0.76,,,
Food preparation,ESH,582458,1.16,,,
Food preparation,ESP,46931011,0.97,,,
Food preparation,EST,1332103,0.85,,,
