Subcategory,countryISO3,population,hoursPerDayCombined,,,
Infrastructure,ABW,101665,0.07,,,
Infrastructure,AFG,36296111,0.07,,,
Infrastructure,AGO,31825299,0.02,,,
Infrastructure,ALB,2896307,0.03,,,
Infrastructure,ARE,9770526,0.04,,,
Infrastructure,ARG,44780675,0.08,,,
Infrastructure,ARM,2925559,0.05,,,
Infrastructure,ATG,97115,0.07,,,
Infrastructure,AUS,21332293,0.08,,,
Infrastructure,AUT,8453501,0.1,,,
Infrastructure,AZE,10047719,0.04,,,
Infrastructure,BDI,9844301,0.01,,,
Infrastructure,BEL,10938735,0.05,,,
Infrastructure,BEN,8902134,0.02,,,
Infrastructure,BFA,17586029,0.04,,,
Infrastructure,BGD,159685421,0.02,,,
Infrastructure,BGR,7524084,0.05,,,
Infrastructure,BHR,1641164,0.04,,,
Infrastructure,BHS,389486,0.07,,,
Infrastructure,BIH,3300998,0.04,,,
Infrastructure,BLR,9445638,0.06,,,
Infrastructure,BLZ,390351,0.07,,,
Infrastructure,BOL,11513102,0.08,,,
Infrastructure,BRA,184833335,0.04,,,
Infrastructure,BRB,287021,0.07,,,
Infrastructure,BRN,433296,0.05,,,
Infrastructure,BTN,763094,0.04,,,
Infrastructure,BWA,2303703,0.03,,,
Infrastructure,CAF,4745179,0.02,,,
Infrastructure,CAN,36026668,0.14,,,
Infrastructure,CHE,8591361,0.07,,,
Infrastructure,CHL,18952035,0.08,,,
Infrastructure,CHN,1329915177,0.05,,,
Infrastructure,CIV,25716554,0.01,,,
Infrastructure,CMR,25876387,0.02,,,
Infrastructure,COD,69020749,0.02,,,
Infrastructure,COG,4145400,0.03,,,
Infrastructure,COL,50339443,0.05,,,
Infrastructure,COM,759390,0.02,,,
Infrastructure,CPV,549936,0.02,,,
Infrastructure,CRI,4949955,0.03,,,
Infrastructure,CUB,11225833,0.05,,,
Infrastructure,CUW,163423,0.07,,,
Infrastructure,CYP,1198574,0.04,,,
Infrastructure,CZE,10689213,0.08,,,
Infrastructure,DEU,80827001,0.06,,,
Infrastructure,DJI,973557,0.02,,,
Infrastructure,DNK,5771877,0.07,,,
Infrastructure,DOM,10738957,0.03,,,
Infrastructure,DZA,41389174,0.07,,,
Infrastructure,ECU,15951832,0.04,,,
Infrastructure,EGY,100388076,0.06,,,
Infrastructure,ERI,3497117,0.02,,,
Infrastructure,ESH,582458,0.07,,,
Infrastructure,ESP,46931011,0.06,,,
Infrastructure,EST,1332103,0.05,,,
Infrastructure,ETH,95385793,0.04,,,
Infrastructure,FIN,5365784,0.06,,,
Infrastructure,FJI,889955,0.03,,,
Infrastructure,FRA,62879535,0.06,,,
Infrastructure,FSM,113811,0.03,,,
Infrastructure,GAB,2172578,0.02,,,
Infrastructure,GBR,63459801,0.07,,,
Infrastructure,GEO,3996762,0.04,,,
Infrastructure,GHA,26607641,0.02,,,
Infrastructure,GIN,12771246,0.02,,,
Infrastructure,GLP,400048,0.07,,,
Infrastructure,GMB,1905020,0.03,,,
Infrastructure,GNB,1920917,0.02,,,
Infrastructure,GNQ,1355982,0.02,,,
Infrastructure,GRC,10887640,0.04,,,
Infrastructure,GRD,112002,0.07,,,
Infrastructure,GTM,16583079,0.07,,,
Infrastructure,GUF,290823,0.05,,,
Infrastructure,GUM,167295,0.03,,,
Infrastructure,GUY,782775,0.05,,,
Infrastructure,HKG,6924642,0.09,,,
Infrastructure,HND,9746115,0.02,,,
Infrastructure,HRV,4130299,0.06,,,
Infrastructure,HTI,10250922,0.05,,,
Infrastructure,HUN,9927380,0.04,,,
Infrastructure,IDN,258383257,0.03,,,
Infrastructure,IND,1366417756,0.03,,,
Infrastructure,IRL,4415871,0.06,,,
Infrastructure,IRN,82913893,0.04,,,
Infrastructure,IRQ,39309789,0.03,,,
Infrastructure,ISL,339037,0.08,,,
Infrastructure,ISR,8243849,0.04,,,
Infrastructure,ITA,59325232,0.06,,,
Infrastructure,JAM,2948277,0.08,,,
Infrastructure,JOR,10101697,0.02,,,
Infrastructure,JPN,127763267,0.13,,,
Infrastructure,KAZ,18080023,0.05,,,
Infrastructure,KEN,52573967,0.03,,,
Infrastructure,KGZ,5422298,0.02,,,
Infrastructure,KHM,16486542,0.04,,,
Infrastructure,KIR,117608,0.03,,,
Infrastructure,KOR,50607904,0.07,,,
Infrastructure,KWT,4207077,0.04,,,
Infrastructure,LAO,6953031,0.01,,,
Infrastructure,LBN,6855709,0.04,,,
Infrastructure,LBR,4702224,0.01,,,
Infrastructure,LBY,6777453,0.07,,,
Infrastructure,LCA,182795,0.08,,,
Infrastructure,LKA,21323734,0.02,,,
Infrastructure,LSO,2125267,0.04,,,
Infrastructure,LTU,3212867,0.09,,,
Infrastructure,LUX,507890,0.06,,,
Infrastructure,LVA,2171248,0.1,,,
Infrastructure,MAC,640446,0.06,,,
Infrastructure,MAR,33241898,0.07,,,
Infrastructure,MDA,4043258,0.04,,,
Infrastructure,MDG,24234080,0.01,,,
Infrastructure,MDV,530957,0.01,,,
Infrastructure,MEX,127575529,0.09,,,
Infrastructure,MKD,2083458,0.04,,,
Infrastructure,MLI,19077755,0,,,
Infrastructure,MLT,440377,0.03,,,
Infrastructure,MMR,54045422,0.02,,,
Infrastructure,MNE,627988,0.07,,,
Infrastructure,MNG,3225166,0.04,,,
Infrastructure,MOZ,27042001,0.02,,,
Infrastructure,MRT,4525698,0.03,,,
Infrastructure,MTQ,375557,0.07,,,
Infrastructure,MUS,1267184,0.04,,,
Infrastructure,MWI,18628749,0.02,,,
Infrastructure,MYS,31949789,0.09,,,
Infrastructure,MYT,266153,0.02,,,
Infrastructure,NAM,2448300,0.02,,,
Infrastructure,NCL,282757,0.11,,,
Infrastructure,NER,21602388,0.01,,,
Infrastructure,NGA,200963603,0.02,,,
Infrastructure,NIC,5982530,0.05,,,
Infrastructure,NLD,16682927,0.06,,,
Infrastructure,NOR,4885878,0.07,,,
Infrastructure,NPL,27632682,0.04,,,
Infrastructure,NZL,4323338,0.08,,,
Infrastructure,OMN,4974992,0.05,,,
Infrastructure,PAK,191260799,0.01,,,
Infrastructure,PAN,3901311,0.08,,,
Infrastructure,PER,32510462,0.03,,,
Infrastructure,PHL,108116622,0.04,,,
Infrastructure,PNG,8776119,0.03,,,
Infrastructure,POL,38329784,0.07,,,
Infrastructure,PRI,2933404,0.07,,,
Infrastructure,PRK,25666158,0.06,,,
Infrastructure,PRT,10226178,0.04,,,
Infrastructure,PRY,7044639,0.05,,,
Infrastructure,PSE,4981422,0.05,,,
Infrastructure,PYF,279285,0.03,,,
Infrastructure,QAT,2832071,0.23,,,
Infrastructure,REU,888932,0.02,,,
Infrastructure,ROU,20471860,0.03,,,
Infrastructure,RUS,145734034,0.16,,,
Infrastructure,RWA,12301969,0.04,,,
Infrastructure,SAU,34268529,0.04,,,
Infrastructure,SEN,16296362,0.02,,,
Infrastructure,SGP,5804343,0.03,,,
Infrastructure,SLB,571329,0.02,,,
Infrastructure,SLE,7650149,0.01,,,
Infrastructure,SLV,6183877,0.02,,,
Infrastructure,SOM,15442906,0.02,,,
Infrastructure,SRB,8963761,0.04,,,
Infrastructure,SSD,11062114,0.02,,,
Infrastructure,STP,215048,0.02,,,
Infrastructure,SUR,581363,0.05,,,
Infrastructure,SVK,5457012,0.08,,,
Infrastructure,SVN,2023049,0.08,,,
Infrastructure,SWE,9139759,0.08,,,
Infrastructure,SWZ,1113994,0.04,,,
Infrastructure,SYC,97741,0.02,,,
Infrastructure,SYR,17070132,0.04,,,
Infrastructure,TCD,15946882,0.02,,,
Infrastructure,TGO,8082359,0.02,,,
Infrastructure,THA,68714519,0.03,,,
Infrastructure,TJK,9321023,0.05,,,
Infrastructure,TKM,5942094,0.05,,,
Infrastructure,TLS,1293120,0.03,,,
Infrastructure,TON,103199,0.03,,,
Infrastructure,TTO,1394969,0.07,,,
Infrastructure,TUN,11694721,0.08,,,
Infrastructure,TUR,72326992,0.03,,,
Infrastructure,TWN,23773881,0.06,,,
Infrastructure,TZA,49960563,0.01,,,
Infrastructure,UGA,41166588,0.01,,,
Infrastructure,UKR,44487708,0.06,,,
Infrastructure,URY,3449290,0.06,,,
Infrastructure,USA,329064917,0.11,,,
Infrastructure,UZB,32981715,0.05,,,
Infrastructure,VCT,110593,0.07,,,
Infrastructure,VEN,29402480,0.06,,,
Infrastructure,VIR,104579,0.07,,,
Infrastructure,VNM,96462108,0.03,,,
Infrastructure,VUT,299882,0.02,,,
Infrastructure,WSM,197093,0.03,,,
Infrastructure,YEM,25823488,0.04,,,
