Subcategory,countryISO3,population,hoursPerDayCombined,,,
Interactive,ABW,101665,1.28,,,
Interactive,AFG,36296111,0.62,,,
Interactive,AGO,31825299,0.96,,,
Interactive,ALB,2896307,0.61,,,
Interactive,ARE,9770526,0.9,,,
Interactive,ARG,44780675,1.15,,,
Interactive,ARM,2925559,0.92,,,
Interactive,ATG,97115,1.28,,,
Interactive,AUS,21332293,0.93,,,
Interactive,AUT,8453501,0.92,,,
Interactive,AZE,10047719,0.9,,,
Interactive,BDI,9844301,1.1,,,
Interactive,BEL,10938735,1.28,,,
Interactive,BEN,8902134,0.99,,,
Interactive,BFA,17586029,1.2,,,
Interactive,BGD,159685421,0.62,,,
Interactive,BGR,7524084,0.48,,,
Interactive,BHR,1641164,0.9,,,
Interactive,BHS,389486,1.28,,,
Interactive,BIH,3300998,0.79,,,
Interactive,BLR,9445638,1.07,,,
Interactive,BLZ,390351,1.26,,,
Interactive,BOL,11513102,1.14,,,
Interactive,BRA,184833335,0.94,,,
Interactive,BRB,287021,1.28,,,
Interactive,BRN,433296,0.6,,,
Interactive,BTN,763094,0.63,,,
Interactive,BWA,2303703,0.88,,,
Interactive,CAF,4745179,0.96,,,
Interactive,CAN,36026668,1.05,,,
Interactive,CHE,8591361,1.16,,,
Interactive,CHL,18952035,1.15,,,
Interactive,CHN,1329915177,0.82,,,
Interactive,CIV,25716554,1.19,,,
Interactive,CMR,25876387,0.96,,,
Interactive,COD,69020749,0.95,,,
Interactive,COG,4145400,1.03,,,
Interactive,COL,50339443,1.86,,,
Interactive,COM,759390,1.11,,,
Interactive,CPV,549936,1.19,,,
Interactive,CRI,4949955,1.09,,,
Interactive,CUB,11225833,1.32,,,
Interactive,CUW,163423,1.28,,,
Interactive,CYP,1198574,0.92,,,
Interactive,CZE,10689213,1.23,,,
Interactive,DEU,80827001,1.23,,,
Interactive,DJI,973557,1.1,,,
Interactive,DNK,5771877,1.1,,,
Interactive,DOM,10738957,1.38,,,
Interactive,DZA,41389174,0.75,,,
Interactive,ECU,15951832,1.14,,,
Interactive,EGY,100388076,0.89,,,
Interactive,ERI,3497117,1.1,,,
Interactive,ESH,582458,0.89,,,
Interactive,ESP,46931011,0.9,,,
Interactive,EST,1332103,1.15,,,
Interactive,ETH,95385793,1.14,,,
Interactive,FIN,5365784,1.24,,,
Interactive,FJI,889955,0.59,,,
Interactive,FRA,62879535,1.04,,,
Interactive,FSM,113811,0.59,,,
Interactive,GAB,2172578,0.96,,,
Interactive,GBR,63459801,1.16,,,
Interactive,GEO,3996762,0.92,,,
Interactive,GHA,26607641,1.28,,,
