Subcategory,countryISO3,population,hoursPerDayCombined,,,
Passive,ABW,101665,2.12,,,
Passive,AFG,36296111,2.05,,,
Passive,AGO,31825299,1.84,,,
Passive,ALB,2896307,3.06,,,
Passive,ARE,9770526,3.09,,,
Passive,ARG,44780675,2.9,,,
Passive,ARM,2925559,3.09,,,
Passive,ATG,97115,2.09,,,
Passive,AUS,21332293,3.06,,,
Passive,AUT,8453501,2.79,,,
Passive,AZE,10047719,3.1,,,
Passive,BDI,9844301,2.25,,,
Passive,BEL,10938735,3.31,,,
Passive,BEN,8902134,2.53,,,
Passive,BFA,17586029,2.33,,,
Passive,BGD,159685421,2.05,,,
Passive,BGR,7524084,3.07,,,
Passive,BHR,1641164,3.09,,,
Passive,BHS,389486,2.09,,,
Passive,BIH,3300998,3.01,,,
Passive,BLR,9445638,2.58,,,
Passive,BLZ,390351,2.09,,,
Passive,BOL,11513102,2.86,,,
Passive,BRA,184833335,2.88,,,
Passive,BRB,287021,2.09,,,
Passive,BRN,433296,3.46,,,
Passive,BTN,763094,2.05,,,
Passive,BWA,2303703,3.02,,,
Passive,CAF,4745179,1.84,,,
Passive,CAN,36026668,2.85,,,
Passive,CHE,8591361,3.07,,,
Passive,CHL,18952035,2.88,,,
Passive,CHN,1329915177,2.58,,,
Passive,CIV,25716554,2.3,,,
Passive,CMR,25876387,1.84,,,
Passive,COD,69020749,1.83,,,
Passive,COG,4145400,1.99,,,
Passive,COL,50339443,2.77,,,
Passive,COM,759390,2.26,,,
Passive,CPV,549936,2.3,,,
Passive,CRI,4949955,2.19,,,
Passive,CUB,11225833,2.14,,,
Passive,CUW,163423,2.09,,,
Passive,CYP,1198574,3.09,,,
Passive,CZE,10689213,2.38,,,
Passive,DEU,80827001,3.15,,,
Passive,DJI,973557,2.25,,,
Passive,DNK,5771877,3.23,,,
Passive,DOM,10738957,2.08,,,
Passive,DZA,41389174,3.08,,,
Passive,ECU,15951832,2.85,,,
Passive,EGY,100388076,3.03,,,
Passive,ERI,3497117,2.25,,,
Passive,ESH,582458,3.04,,,
Passive,ESP,46931011,2.96,,,
Passive,EST,1332103,3.28,,,
Passive,ETH,95385793,2.14,,,
Passive,FIN,5365784,3.48,,,
Passive,FJI,889955,3.45,,,
Passive,FRA,62879535,3.02,,,
Passive,FSM,113811,3.45,,,
Passive,GAB,2172578,1.84,,,
Passive,GBR,63459801,3.22,,,
Passive,GEO,3996762,3.09,,,
Passive,GHA,26607641,2.2,,,
Passive,GIN,12771246,2.3,,,
Passive,GLP,400048,2.09,,,
Passive,GMB,1905020,2.3,,,
Passive,GNB,1920917,2.3,,,
Passive,GNQ,1355982,1.84,,,
Passive,GRC,10887640,3.32,,,
Passive,GRD,112002,2.09,,,
Passive,GTM,16583079,2.09,,,
Passive,GUF,290823,2.86,,,
Passive,GUM,167295,3.45,,,
Passive,GUY,782775,2.85,,,
Passive,HKG,6924642,2.76,,,
Passive,HND,9746115,2.08,,,
Passive,HRV,4130299,3.03,,,
Passive,HTI,10250922,2.08,,,
Passive,HUN,9927380,3.43,,,
Passive,IDN,258383257,3.45,,,
Passive,IND,1366417756,2.02,,,
Passive,IRL,4415871,3.34,,,
Passive,IRN,82913893,2.82,,,
Passive,IRQ,39309789,3.07,,,
Passive,ISL,339037,3.22,,,
Passive,ISR,8243849,3.1,,,
Passive,ITA,59325232,2.93,,,
Passive,JAM,2948277,2.07,,,
Passive,JOR,10101697,3.08,,,
Passive,JPN,127763267,3.89,,,
Passive,KAZ,18080023,2.25,,,
Passive,KEN,52573967,2.25,,,
Passive,KGZ,5422298,2.35,,,
Passive,KHM,16486542,3.45,,,
Passive,KIR,117608,3.45,,,
Passive,KOR,50607904,2.46,,,
Passive,KWT,4207077,3.09,,,
Passive,LAO,6953031,3.45,,,
Passive,LBN,6855709,3.09,,,
Passive,LBR,4702224,2.31,,,
Passive,LBY,6777453,3.04,,,
Passive,LCA,182795,2.1,,,
Passive,LKA,21323734,2.05,,,
Passive,LSO,2125267,3.02,,,
Passive,LTU,3212867,3.09,,,
Passive,LUX,507890,2.61,,,
Passive,LVA,2171248,3.09,,,
Passive,MAC,640446,2.71,,,
Passive,MAR,33241898,2.96,,,
Passive,MDA,4043258,2.38,,,
Passive,MDG,24234080,2.25,,,
Passive,MDV,530957,2.06,,,
Passive,MEX,127575529,2.08,,,
Passive,MKD,2083458,3.02,,,
Passive,MLI,19077755,2.3,,,
Passive,MLT,440377,3.03,,,
Passive,MMR,54045422,3.44,,,
Passive,MNE,627988,3.05,,,
Passive,MNG,3225166,2.59,,,
Passive,MOZ,27042001,2.25,,,
Passive,MRT,4525698,2.3,,,
Passive,MTQ,375557,2.09,,,
Passive,MUS,1267184,3.29,,,
Passive,MWI,18628749,2.25,,,
Passive,MYS,31949789,3.47,,,
Passive,MYT,266153,2.25,,,
Passive,NAM,2448300,3.02,,,
Passive,NCL,282757,3.45,,,
Passive,NER,21602388,2.3,,,
Passive,NGA,200963603,2.3,,,
Passive,NIC,5982530,2.1,,,
Passive,NLD,16682927,2.91,,,
Passive,NOR,4885878,2.97,,,
Passive,NPL,27632682,2.06,,,
Passive,NZL,4323338,3.14,,,
Passive,OMN,4974992,2.59,,,
Passive,PAK,191260799,1.97,,,
Passive,PAN,3901311,2.09,,,
Passive,PER,32510462,2.85,,,
Passive,PHL,108116622,3.45,,,
Passive,PNG,8776119,3.45,,,
Passive,POL,38329784,3,,,
Passive,PRI,2933404,2.09,,,
Passive,PRK,25666158,2.71,,,
Passive,PRT,10226178,3.02,,,
