Subcategory,countryISO3,population,hoursPerDayCombined,,,
Religious practice,ABW,101665,0.23,,,
Religious practice,AFG,36296111,0.29,,,
Religious practice,AGO,31825299,0.44,,,
Religious practice,ALB,2896307,0.07,,,
Religious practice,ARE,9770526,0.47,,,
Religious practice,ARG,44780675,0.17,,,
Religious practice,ARM,2925559,0.47,,,
Religious practice,ATG,97115,0.22,,,
Religious practice,AUS,21332293,0.16,,,
Religious practice,AUT,8453501,0.1,,,
Religious practice,AZE,10047719,0.48,,,
Religious practice,BDI,9844301,0.15,,,
Religious practice,BEL,10938735,0.09,,,
Religious practice,BEN,8902134,0.32,,,
Religious practice,BFA,17586029,0.25,,,
Religious practice,BGD,159685421,0.27,,,
Religious practice,BGR,7524084,0.08,,,
Religious practice,BHR,1641164,0.47,,,
Religious practice,BHS,389486,0.22,,,
Religious practice,BIH,3300998,0.1,,,
Religious practice,BLR,9445638,0.06,,,
Religious practice,BLZ,390351,0.22,,,
Religious practice,BOL,11513102,0.17,,,
Religious practice,BRA,184833335,0.15,,,
Religious practice,BRB,287021,0.22,,,
Religious practice,BRN,433296,0.04,,,
Religious practice,BTN,763094,0.28,,,
Religious practice,BWA,2303703,0.28,,,
Religious practice,CAF,4745179,0.44,,,
Religious practice,CAN,36026668,0.08,,,
Religious practice,CHE,8591361,0.1,,,
Religious practice,CHL,18952035,0.17,,,
Religious practice,CHN,1329915177,0.09,,,
Religious practice,CIV,25716554,0.24,,,
Religious practice,CMR,25876387,0.44,,,
Religious practice,COD,69020749,0.44,,,
Religious practice,COG,4145400,0.44,,,
Religious practice,COL,50339443,0.23,,,
Religious practice,COM,759390,0.15,,,
Religious practice,CPV,549936,0.24,,,
Religious practice,CRI,4949955,0.07,,,
Religious practice,CUB,11225833,0.23,,,
Religious practice,CUW,163423,0.22,,,
Religious practice,CYP,1198574,0.47,,,
Religious practice,CZE,10689213,0.19,,,
Religious practice,DEU,80827001,0.08,,,
Religious practice,DJI,973557,0.15,,,
Religious practice,DNK,5771877,0.12,,,
Religious practice,DOM,10738957,0.22,,,
Religious practice,DZA,41389174,0.53,,,
Religious practice,ECU,15951832,0.16,,,
Religious practice,EGY,100388076,0.64,,,
Religious practice,ERI,3497117,0.15,,,
Religious practice,ESH,582458,0.64,,,
Religious practice,ESP,46931011,0.09,,,
Religious practice,EST,1332103,0.07,,,
Religious practice,ETH,95385793,0.11,,,
Religious practice,FIN,5365784,0.09,,,
Religious practice,FJI,889955,0.05,,,
Religious practice,FRA,62879535,0.12,,,
Religious practice,FSM,113811,0.05,,,
