Subcategory,countryISO3,population,hoursPerDayCombined,,,
Schooling & research,ABW,101665,1.22,,,
Schooling & research,AFG,36296111,1.33,,,
Schooling & research,AGO,31825299,1.95,,,
Schooling & research,ALB,2896307,1.03,,,
Schooling & research,ARE,9770526,0.93,,,
Schooling & research,ARG,44780675,1.05,,,
Schooling & research,ARM,2925559,0.99,,,
Schooling & research,ATG,97115,1.23,,,
Schooling & research,AUS,21332293,0.92,,,
Schooling & research,AUT,8453501,0.85,,,
Schooling & research,AZE,10047719,0.98,,,
Schooling & research,BDI,9844301,1.06,,,
Schooling & research,BEL,10938735,0.97,,,
Schooling & research,BEN,8902134,1.12,,,
Schooling & research,BFA,17586029,1.28,,,
Schooling & research,BGD,159685421,1.32,,,
Schooling & research,BGR,7524084,0.57,,,
Schooling & research,BHR,1641164,0.93,,,
Schooling & research,BHS,389486,1.23,,,
Schooling & research,BIH,3300998,0.79,,,
Schooling & research,BLR,9445638,0.82,,,
Schooling & research,BLZ,390351,1.11,,,
Schooling & research,BOL,11513102,0.98,,,
Schooling & research,BRA,184833335,1.02,,,
Schooling & research,BRB,287021,1.23,,,
Schooling & research,BRN,433296,1.14,,,
Schooling & research,BTN,763094,1.35,,,
Schooling & research,BWA,2303703,1.1,,,
Schooling & research,CAF,4745179,1.95,,,
Schooling & research,CAN,36026668,0.88,,,
Schooling & research,CHE,8591361,0.78,,,
Schooling & research,CHL,18952035,1.11,,,
Schooling & research,CHN,1329915177,0.75,,,
Schooling & research,CIV,25716554,1.3,,,
Schooling & research,CMR,25876387,1.95,,,
Schooling & research,COD,69020749,1.95,,,
Schooling & research,COG,4145400,1.97,,,
Schooling & research,COL,50339443,1.01,,,
Schooling & research,COM,759390,1.15,,,
Schooling & research,CPV,549936,1.31,,,
Schooling & research,CRI,4949955,1.14,,,
Schooling & research,CUB,11225833,1.5,,,
Schooling & research,CUW,163423,1.23,,,
Schooling & research,CYP,1198574,0.95,,,
Schooling & research,CZE,10689213,0.76,,,
Schooling & research,DEU,80827001,0.68,,,
Schooling & research,DJI,973557,1.1,,,
Schooling & research,DNK,5771877,0.88,,,
Schooling & research,DOM,10738957,1.24,,,
Schooling & research,DZA,41389174,0.89,,,
Schooling & research,ECU,15951832,1.02,,,
Schooling & research,EGY,100388076,0.87,,,
Schooling & research,ERI,3497117,1.1,,,
Schooling & research,ESH,582458,0.86,,,
Schooling & research,ESP,46931011,0.81,,,
Schooling & research,EST,1332103,0.83,,,
Schooling & research,ETH,95385793,1.03,,,
Schooling & research,FIN,5365784,0.81,,,
Schooling & research,FJI,889955,1.02,,,
Schooling & research,FRA,62879535,0.84,,,
Schooling & research,FSM,113811,1.02,,,
Schooling & research,GAB,2172578,1.95,,,
Schooling & research,GBR,63459801,0.88,,,
Schooling & research,GEO,3996762,0.98,,,
Schooling & research,GHA,26607641,1.4,,,
Schooling & research,GIN,12771246,1.31,,,
Schooling & research,GLP,400048,1.23,,,
Schooling & research,GMB,1905020,1.3,,,
Schooling & research,GNB,1920917,1.31,,,
Schooling & research,GNQ,1355982,1.95,,,
Schooling & research,GRC,10887640,0.8,,,
Schooling & research,GRD,112002,1.23,,,
Schooling & research,GTM,16583079,1.21,,,
Schooling & research,GUF,290823,1.03,,,
Schooling & research,GUM,167295,1.02,,,
Schooling & research,GUY,782775,0.99,,,
Schooling & research,HKG,6924642,0.91,,,
Schooling & research,HND,9746115,1.2,,,
Schooling & research,HRV,4130299,0.85,,,
Schooling & research,HTI,10250922,1.2,,,
Schooling & research,HUN,9927380,0.96,,,
Schooling & research,IDN,258383257,1.04,,,
Schooling & research,IND,1366417756,1.42,,,
Schooling & research,IRL,4415871,0.92,,,
Schooling & research,IRN,82913893,0.57,,,
Schooling & research,IRQ,39309789,0.98,,,
Schooling & research,ISL,339037,0.96,,,
Schooling & research,ISR,8243849,1.06,,,
Schooling & research,ITA,59325232,0.79,,,
Schooling & research,JAM,2948277,1.27,,,
Schooling & research,JOR,10101697,0.96,,,
Schooling & research,JPN,127763267,0.86,,,
Schooling & research,KAZ,18080023,1.64,,,
Schooling & research,KEN,52573967,1.16,,,
Schooling & research,KGZ,5422298,1.45,,,
Schooling & research,KHM,16486542,0.95,,,
Schooling & research,KIR,117608,1.02,,,
Schooling & research,KOR,50607904,1.4,,,
