Subcategory,countryISO3,population,hoursPerDayCombined,,,
Waste management,ABW,101665,0.02,,,
Waste management,AFG,36296111,0,,,
Waste management,AGO,31825299,0,,,
Waste management,ALB,2896307,0.01,,,
Waste management,ARE,9770526,0.01,,,
Waste management,ARG,44780675,0.01,,,
Waste management,ARM,2925559,0,,,
Waste management,ATG,97115,0.01,,,
Waste management,AUS,21332293,0.01,,,
Waste management,AUT,8453501,0.01,,,
Waste management,AZE,10047719,0.01,,,
Waste management,BDI,9844301,0.01,,,
Waste management,BEL,10938735,0.01,,,
Waste management,BEN,8902134,0,,,
Waste management,BFA,17586029,0.02,,,
Waste management,BGD,159685421,0,,,
Waste management,BGR,7524084,0.01,,,
Waste management,BHR,1641164,0.01,,,
Waste management,BHS,389486,0.01,,,
Waste management,BIH,3300998,0.02,,,
Waste management,BLR,9445638,0.01,,,
Waste management,BLZ,390351,0,,,
Waste management,BOL,11513102,0,,,
Waste management,BRA,184833335,0.01,,,
Waste management,BRB,287021,0.01,,,
Waste management,BRN,433296,0.01,,,
Waste management,BTN,763094,0,,,
Waste management,BWA,2303703,0,,,
Waste management,CAF,4745179,0,,,
Waste management,CAN,36026668,0.01,,,
Waste management,CHE,8591361,0.01,,,
Waste management,CHL,18952035,0.01,,,
Waste management,CHN,1329915177,0.01,,,
Waste management,CIV,25716554,0.01,,,
Waste management,CMR,25876387,0,,,
Waste management,COD,69020749,0,,,
Waste management,COG,4145400,0,,,
Waste management,COL,50339443,0.01,,,
Waste management,COM,759390,0.01,,,
Waste management,CPV,549936,0.01,,,
Waste management,CRI,4949955,0.01,,,
Waste management,CUB,11225833,0,,,
Waste management,CUW,163423,0.01,,,
Waste management,CYP,1198574,0.01,,,
Waste management,CZE,10689213,0.02,,,
Waste management,DEU,80827001,0.01,,,
Waste management,DJI,973557,0.01,,,
Waste management,DNK,5771877,0.01,,,
Waste management,DOM,10738957,0.01,,,
Waste management,DZA,41389174,0,,,
Waste management,ECU,15951832,0.01,,,
Waste management,EGY,100388076,0.01,,,
Waste management,ERI,3497117,0.01,,,
